"barfoothefoobarman", ["foo","bar"]	[0,9]
"dddacbcadacdabbdabcabbabbcdaddddccdbdbbccdccbdbbaabcbcdcaccdbbcadcbddcbbcddddba", ["bbc","dba","ddd"]	[70]
"dbaaacbcbbabdcabdacabadcbcadcadbbacbcdadaaadcabbadbbdbdadddcdcdbcbcaacda", ["aad","bcd","ada"]	[35]
"ccdcbadacbaacddddbdaccbabdaabbcdabcbbbbacbaabdaaadacbbcdacdbabbacd", ["bdac","dddd"]	[13]
"acbcaddaccddbcbaaddcccbccbdddaadccbcbaddccdaaaaaadcccaaabadaaddcbabdaacdcbdcc", ["dccc","aaaa"]	[45]
"bbdccdbaaaabbacaccaaccdbdcdbabdbccdacbacbaadacdcaddcccabadcaabccabcccdaadadadccdcbcadcbabdabacda", ["abcc","adca"]	[56]
"abbcbabcdaddabdddbabbacdcbcbaccadddadadcacbadadccddddcdbdbdddbddacddccbcacdddcbbcbabdd", ["dcac","bada"]	[38]
"caddbacaccdabadbcdcbbccadaccdddbddbaddaccacdabacacacb", ["ccad","accd"]	[21]
"aaaccbbcaccccdbddcbbbacbdbcbdaddadbdbcbbbdddcacccaddabaacdbcdabaaddbbaccdbccbaadadc", ["bacb","dbcb"]	[20]
"dbaabccddcbdaaaaddadabcaccddddbcacdbabaddcddcdabcaacbccabbdaaadaccbcdcccabccac", ["ddcd","baba"]	[35]
"bcbcabcbabcbddddaabbdddddaacaadbcbadccacacddbccbcdcbcbabbbabbddaaddcbdabbdacbcdacbbacccddcbabaacdda", ["acbc","dacb"]	[74]
"dabbcaacbcdacddcbcdabbcbaadcddcdddabdadbddbbcbaaddaabcbbcadcdbbcabdacdbbcccadcacca", ["cddd","abda"]	[30]
"cbddabdbdaddbaacdbdadacddcdddddbacaaaabdaacbacdadcacddccbbbaaabadcadcbccbadbccbbacadbcb", ["cddc","dddd"]	[22]
"ccdcccbddbacbdbddcabdddcabccdcbcbaaddbccccaabbdbdaccdbbdddb", ["ccca","ddbc"]	[35]
"cacdcabadabbacaabdabadbabbbcacacccbaccabcbccadcbccdccacdcdbcbcadabdddaacbdabcdda", ["bcdd","cbda"]	[71]
"aaabdbdabbdccadbdcbbacdbddadcaacaadabdacadacaaadcbacdaddda", ["cbac","dadd"]	[48]
"adadcccdccbccdccdcdbddcdddacaddadadbcbaaabdcbbaaadbddaccddadcadbadccaddaa", ["cdbd","dcdd"]	[17]
"caaadbcddadcbddbadadcbcaaaacdcbbcbbccdbbaaabaddacddbacbbcbdbaaccbaaadbbd", ["cbbc","aacd"]	[25]
"cbbbcadbcccdaabdacbcbcdadabaaabcbcdacdbabaababbadccaabadbcdbcbaddddccbcabcbbacb", ["dada","baaa"]	[22]
"cbbccbdbadbaccdabcdcbdcccacdabacdbabcdddcadbccbdaabbdddcdbbddbbcdcdbbca", ["acdb","abcd"]	[30]
"dcaacbaadcabdbdccddabdbdbacdaacacdabaabdcbacdaabddbadcdacbd", ["dccd","abdb"]	[10]
"bacbaabcbddacdbdbbbaabdadcbcaddcdcdacacdacacbbbcdccdabdddabaabcddbdbbcabaadbcadbdcadddcdaadabbd", ["acdb","dbbb"]	[11]
"bccacdbabdadaccdacadcdadddcabbcddbdbaabbdbadadcabd", ["ddca","dbdb","bbcd"]	[24]
"babcaabaccbaabcabbcccbabaacbbaccbaabbccababccacbaabcbcacaabbaaccaabccbbaaccabccbabacabbabccccccac", ["bbcc","ccac","cbaa","abab"]	[31]
"abbaccaaabcabbbccbabbccabbacabcacbbaabbbbbaaabaccaacbccabcbababbbabccabacbbcabbaacaccccbaabcabaabaaaabcaabcacabaa", ["cac","aaa","aba","aab","abc"]	[97]
"abcbaabcabcaccbcccbbaaabaaaaaabaabcacbacaaacabcabaccbccbaaaabbbbabcaaaaabbcbcbabccbccbbcbbacbccbabcacabbcbacaabbcabcbcaacbaaaccbbcababccaabcbab", ["cac","bcc","bab","abb","bac"]	[89]
"abcbaaaccaabbcababaaabccaabccccbbccbaabcbccacacacabcbbbacbcbbccabaccbbbcbaabbabbaaaacaacbcacbbaacbcbcbabbbcacbbacaacbbbcacccbbcacabbbacaccbcbaababa", ["bcb","baa","cac","aca","cca"]	[35]
"pjzkrkevzztxductzzxmxsvwjkxpvukmfjywwetvfnujhweiybwvvsrfequzkhossmootkmyxgjgfordrpapjuunmqnxxdrqrfgkrsjqbszgiqlcfnrpjlcwdrvbumtotzylshdvccdmsqoadfrpsvnwpizlwszrtyclhgilklydbmfhuywotjmktnwrfvizvnmfvvqfiokkdprznnnjycttprkxpuykhmpchiksyucbmtabiqkisgbhxngmhezrrqvayfsxauampdpxtafniiwfvdufhtwajrbkxtjzqjnfocdhekumttuqwovfjrgulhekcpjszyynadxhnttgmnxkduqmmyhzfnjhducesctufqbumxbamalqudeibljgbspeotkgvddcwgxidaiqcvgwykhbysjzlzfbupkqunuqtraxrlptivshhbihtsigtpipguhbhctcvubnhqipncyxfjebdnjyetnlnvmuxhzsdahkrscewabejifmxombiamxvauuitoltyymsarqcuuoezcbqpdaprxmsrickwpgwpsoplhugbikbkotzrtqkscekkgwjycfnvwfgdzogjzjvpcvixnsqsxacfwndzvrwrycwxrcismdhqapoojegggkocyrdtkzmiekhxoppctytvphjynrhtcvxcobxbcjjivtfjiwmduhzjokkbctweqtigwfhzorjlkpuuliaipbtfldinyetoybvugevwvhhhweejogrghllsouipabfafcxnhukcbtmxzshoyyufjhzadhrelweszbfgwpkzlwxkogyogutscvuhcllphshivnoteztpxsaoaacgxyaztuixhunrowzljqfqrahosheukhahhbiaxqzfmmwcjxountkevsvpbzjnilwpoermxrtlfroqoclexxisrdhvfsindffslyekrzwzqkpeocilatftymodgztjgybtyheqgcpwogdcjlnlesefgvimwbxcbzvaibspdjnrpqtyeilkcspknyylbwndvkffmzuriilxagyerjptbgeqgebiaqnvdubrtxibhvakcyotkfonmseszhczapxdlauexehhaireihxsplgdgmxfvaevrbadbwjbdrkfbbjjkgcztkcbwagtcnrtqryuqixtzhaakjlurnumzyovawrcjiwabuwretmdamfkxrgqgcdgbrdbnugzecbgyxxdqmisaqcyjkqrntxqmdrczxbebemcblftxplafnyoxqimkhcykwamvdsxjezkpgdpvopddptdfbprjustquhlazkjfluxrzopqdstulybnqvyknrchbphcarknnhhovweaqawdyxsqsqahkepluypwrzjegqtdoxfgzdkydeoxvrfhxusrujnmjzqrrlxglcmkiykldbiasnhrjbjekystzilrwkzhontwmehrfsrzfaqrbbxncphbzuuxeteshyrveamjsfiaharkcqxefghgceeixkdgkuboupxnwhnfigpkwnqdvzlydpidcljmflbccarbiegsmweklwngvygbqpescpeichmfidgsjmkvkofvkuehsmkkbocgejoiqcnafvuokelwuqsgkyoekaroptuvekfvmtxtqshcwsztkrzwrpabqrrhnlerxjojemcxel", ["dhvf","sind","ffsl","yekr","zwzq","kpeo","cila","tfty","modg","ztjg","ybty","heqg","cpwo","gdcj","lnle","sefg","vimw","bxcb"]	[935]
"dlmogiklbqfggokuonfgugiyammwvwhbjvrqgdbjtipcwzwmobtjjdhmpvknrsqbpjtvmwfifukbwgokjjvvmeheatttljwdupygofotcywygmksvipkmyqmrjifueiouiukoldqlzquocojkdvzdlnuuvbqajewubgiolazmsvaujmfohervtorppipbolvrtdfefhqxcrrofycmewjykbnzjeazrxrkayohfgekzwyewctbyczidokoskojihvkflslryxruvxrzquytvgyjsndddmnkhzrstclsbeowchwsbwnwemhxbkcgwpqfqjzmmlenpumrckmdgzcmnjjqulwscoytyxhkklzahntjzfphhruwadnwpjptypmwovizijzqzuzycogjhahkdugugxoemccbymagvbyuxytzobkwbsigoobuoraatedrqfamiyigydhpeslhmvoajrxzixabcfvslxgvvpbwujlzdygptureloetogxslsmyrtuokxkeivflvmcoiutwkzryfoqsidtzypqkmaqxywktknisjdoteisjykdhpyipnyzcbqzzolsyycsjfjdjrxupjayzyhqohqqiirjyccwdgoomxtxqqugcwedwntkxlcfvvrtatpfbgtnfnnwfjchfikdwgotrsanorgqmyvoeqdldshldlsiufoslencwprmhyevwzlcqrpvlzgpkbzggnytrnxqdpekpjhnivraogwzfeoqfoynbzgvmelpvpbkyjxjgojuwhtcmkurysfbrnwerjvozxazixionukkbfonpihpcorwbpcvzxjaukzejksxeejhkxxzhgpjuihvxjqyhaydmaivkcuqhdztcyulelvyteutokrxmscasmwepswyyxrawnmazjbsnvndhfcwzfwrruxinvilsbnopbroksiapwfydkwcptvipstepbphffyugrktlsvaqaatkxxbssmhmhmbidjpijjravklofnghnaumxvesjoeqcibhtqsccjextpnaeuhtwdgvbknkaubccemvuezyndwiujkyftrbxxzykmkkilpkrdhohgmwjigduqdbjvdgueggqrtbeknwnvkubysnjysdowgztjipnowghpjmbwkorwkvuckfaciqaprvazlqqjyxahlbdxpxvzusdexfiivlzogbotrgerfeathgqydmxzgcddhnleykthmjcfphzwnzpvfgtkutjavoffcrjcdejrpoxevydkxsffabruwbwtrcytvkyyqhqgvpmsnpdmiktinlflmdffffzcrxbigtqeicyxudlcofmdqtpexwjebkhtjidsdtwlvwkpavtqaitsbkyagifiumdewgwzzumwqyoqtjgwrcqvmpvtzadtogxmmvnlrzjixxathjpylhvzwruvtxpkdowrmkedlonjloeuxtvkcqjzjeuddlnhalamvfrhvfsitwdsryetqnu", ["pbolvrtdfefhqxcrrofyc","mewjykbnzjeazrxrkayoh","fgekzwyewctbyczidokos","kojihvkflslryxruvxrzq","uytvgyjsndddmnkhzrstc","lsbeowchwsbwnwemhxbkc","gwpqfqjzmmlenpumrckmd","gzcmnjjqulwscoytyxhkk","lzahntjzfphhruwadnwpj","ptypmwovizijzqzuzycog","jhahkdugugxoemccbymag","vbyuxytzobkwbsigoobuo","raatedrqfamiyigydhpes","lhmvoajrxzixabcfvslxg","vvpbwujlzdygptureloet","ogxslsmyrtuokxkeivflv","mcoiutwkzryfoqsidtzyp","qkmaqxywktknisjdoteis","jykdhpyipnyzcbqzzolsy","ycsjfjdjrxupjayzyhqoh","qqiirjyccwdgoomxtxqqu","gcwedwntkxlcfvvrtatpf","bgtnfnnwfjchfikdwgotr","sanorgqmyvoeqdldshldl","siufoslencwprmhyevwzl","cqrpvlzgpkbzggnytrnxq"]	[187]
"xcsgedisbnkkiperkawetuiokxjmrapqcjyjpgbqulcecgxoitudpcrcccotcglhpjqeptwlhasjgpaqlutaznebptwszhbostvhmtvtunfcehtpboscbwdrpzlqgohahcivxfpruwuydpqgdijhgmaymloubxvizfdxkuqeqmetduajejqnxqlldbgezdoaitzuosagegakdcthnjwmzjyeleimjyotrqphipooxqyasrihagtbqthdzppipfbhvqodheufushomrvmyrqokxrkpiuepwnloeqyikfdfmrrepfcgvqsvjektbqixetnkmlsyqxddpwhgclozdgumnghoxpndlapxohvghbjyxsebfsbiaxwnedddvsggvxdjgapnbblbvpcbhdjibixhlbkgtsooptzvurlxswynmdoviafjidsvgcebwsslmrjiiufcsgqgjgcrghdomvmuaqwwkokwhvgsrmujskqbruszdxqqtckvuirewddgyjypxszpdrswlnvoklefprajzsqyxtewecncuorzfmvqztfjglrwcrfelxcjqghvkuzgjsgoedfdwmpdxgbcxiglgiuyqdtaxuginoxrsevqsmvpuwrrhxenhalxdhzbbilqwiiqofjgrewldpemplzwlmupvvsxddncoxsccdlvkjinypbnaamloiakdujhyylmwdqajbwtkgijvjyvlkhzsjlyeufctsorvergipzswhdrqcpbowdjfohjjonegdvdkoksejkcrovjsklgiorqeybnmprusoyedkwjthnmxkwpxjxfzpvdpxtcokyibwnggjrcseopqmgnvgtuvqamntqbfpmgnzowifydloscdbpyhkvebvqqqhuvwgclfshpyfsjwnnzodzxpudqrtjhcddajhmqztfzbajxnywddxatsdllyuvbzabkjnaihikiivhvtfyxcaswfdidafebfimovoyeyioidvfzadwffqbkvlovquzvcnjydkecstkyoqxrvvwdlznildebyfzasiavufznamnqcmhzhfcufscsvitvpswhdyfxdemfqbwundwwlaqsuvkqffnvalcfkjepotvgurdiwzehbxbwsnozvbuvnzcxigmyzjfuaicxjigkfkgzxuzuytplutkdaybbiixisbhdkqopawrztqurlleghojhmmkuxifrjovtellghcicsetfrxlylwhalsuiczblqwhuhsdpwlrqpnvimhhafoaqiuakwcwmyfiizlzvyqlpfiysrfsxvsneoqomsmasrjaqwznvsakzjiraplxlfnrwdfixujpluseqtrlluyldiedasdlxscvvjeudplrjdxbxqpkkpxpxctxuyktqornyxhdmuwxytaxmphwefoejhbfhmazarmaovecpczpwcokrwiydwcofftmttlwnzwbwceoffddhsnbqxzvubjzieocxbymduozzungztjjlykdxlarojtwpjyokwbntppujcakvlvilfniqnceyvdnebcqadgtuvpfzppxanhlsvvlkxrjuuyywarwdzrzwgevxwuzjemdzholfgwzcvayvtwbspaoxhlwdivmmhpnpgywovxqqzrnsnqmfrceaobdywrkeixvovrcsqtkqkyizovghxljnmmlkfvqoulesehkvcxlo", ["dbpyhkvebvqqqhuvwgclfshpyfs","jwnnzodzxpudqrtjhcddajhmqzt","fzbajxnywddxatsdllyuvbzabkj","naihikiivhvtfyxcaswfdidafeb","fimovoyeyioidvfzadwffqbkvlo","vquzvcnjydkecstkyoqxrvvwdlz","nildebyfzasiavufznamnqcmhzh","fcufscsvitvpswhdyfxdemfqbwu","ndwwlaqsuvkqffnvalcfkjepotv","gurdiwzehbxbwsnozvbuvnzcxig","myzjfuaicxjigkfkgzxuzuytplu","tkdaybbiixisbhdkqopawrztqur","lleghojhmmkuxifrjovtellghci","csetfrxlylwhalsuiczblqwhuhs","dpwlrqpnvimhhafoaqiuakwcwmy","fiizlzvyqlpfiysrfsxvsneoqom","smasrjaqwznvsakzjiraplxlfnr","wdfixujpluseqtrlluyldiedasd","lxscvvjeudplrjdxbxqpkkpxpxc","txuyktqornyxhdmuwxytaxmphwe","foejhbfhmazarmaovecpczpwcok","rwiydwcofftmttlwnzwbwceoffd","dhsnbqxzvubjzieocxbymduozzu","ngztjjlykdxlarojtwpjyokwbnt","ppujcakvlvilfniqnceyvdnebcq"]	[873]
"syvsjefxttjyqamnntfucrpeoculzlzsjukuarrtmbuddiqsbxmdodjdffqfrpzcjjxmcofprzuwikpjhbpxhycmettxiuzufwginlxgnrdxduimxxjewmtchmzpjyjovrwifvqsmtprpxdnxprtdkvkzuziulwpcvzhqqbflswbscqprhiuufetbfdvsznvwoengisuaqvssnhjurfoyljbrmzjomgkcnxjvrdviaqanzmjtrardjvwwufmgowibwtwnwtxwjyljmvcfvvigqgekmqscpddlwbatuyreyfpkarpxoadhgiruamyppbancdgxbadbfsnhleezejgntajumijdlmqqpzpqbstgkgpxkvwpefeyfpstzdwlpodenswokpwwvltgirxpydndshyumwhclkiycfpoulmszhyjyxyzancuwdojzxlkhtllaczxpnpqupavmyuomykibbrbyengaarcctzsgoibdkyrjsfvqqfurzvpfkxfnripkjjqyutdervnlckcuqylrtdwfccstmkfxtwvprbulwjwawavoyiftnbbqftltfrrbpmqgpmtlysouujivrpqfqrxwnirszitoxmxmyqaykosfxcaqtqvkksizbzrcknrhbotbgvarjuyizyzsquccpmbsovuyklflbamiwobhjzqkzpcrlhuctxuhsrhcempgpeqlsrudsknrbskpzerscocwfjbjyqpnuhapauushklicwxdcpxgdzfklgtlwlatsaktwgndqzouxlxbcxihwprjvlwtwwoqyyjvhzaxaouxataeqkmpzdauqxomtcfudopkprjpgdoizpmpzyezehvuejhzomtrckbsckjiqyspnegofnnjujdaukziytbddcxhpgphghytogkttxcpifpdsrnsmpxrtuzkdqtlathoarhvollzqcektrdficxezwocmkpmdwcdnlzcwmdpohziaepjhmngkdkznznrwqwlbvnahspwzqgaxvlgkyoudatrzhkxzgjceycnttlskruhpfpzfdtldpceyoexwpbcpeqixbbjtxskfhjkkcvntzsrpyomnqocwglviofdlznqhwdrayhuablrzcdmuuosabnkpunbuatbywubxdvzeiqfmuriqiasjodzkqcetvhtueurhpqoaitmcnvuxxngnqhyiledhoxdsrubjmpjujxzysvvsidfaldlyiofylkqferoshxnsuospjnhusmwfsjecylalwqqajevsdkmayerjtyfmmcrglviljkxfcpfmwcgzmtzmzqwtqdhffaltywghgfmlvtxrwdskyuxymvtfyakgaxbavhhentpknobltvvspsscpljontwpsxqoexuttjdizgtscqmtlexapgqcbmsulkkqhelappiovdizuvvfzsfrbyvckpywzkojqzjhquxmxgnrdiyedgxgetkqklomvcvoeevuatiybwregsilyirebcunnjzknuytbuobpwbquvwdngonogrrknfzyejobihcevftuhloehrtnggcoztamaznfibgqikweppayaochivxqdbgcwgrxfeenfmgnwctnstmukqeuobkreqwawnxbtdqypwnlbjztenpodtitwulakhbiwajpecptyehzniusvmiaftucnhe", ["qbflswbscqprhiuufetbfd","vsznvwoengisuaqvssnhju","rfoyljbrmzjomgkcnxjvrd","viaqanzmjtrardjvwwufmg","owibwtwnwtxwjyljmvcfvv","igqgekmqscpddlwbatuyre","yfpkarpxoadhgiruamyppb","ancdgxbadbfsnhleezejgn","tajumijdlmqqpzpqbstgkg","pxkvwpefeyfpstzdwlpode","nswokpwwvltgirxpydndsh","yumwhclkiycfpoulmszhyj","yxyzancuwdojzxlkhtllac","zxpnpqupavmyuomykibbrb","yengaarcctzsgoibdkyrjs","fvqqfurzvpfkxfnripkjjq","yutdervnlckcuqylrtdwfc","cstmkfxtwvprbulwjwawav","oyiftnbbqftltfrrbpmqgp","mtlysouujivrpqfqrxwnir"]	[165]
"miudowshwyqwmysgveoymhuqvbuvtcdhmzkavejscaqqakwwpnwbuqtrtnomruvdthfplpjppzipjenarjdozwfsmugdobjjioyvdhnsivksbxuvhyjguqbgmhmclvmvjkrnuehcbrweprzypiglbhunrgqebezmoqzkwjnzcletedrtoyhphbeyhwckacwruydtjqslewficyeqwlheonexkjjmnffhfjcqbvcftjqvhunghumxkqwuzfiomowszaiavmirvymfualbwxagpwcrbnfnbdhaescbekscihjejuhfthokdsbgfjwimdksxnwezogixroglwogdeqjwupcdlmrrxmomislyavwrkeegskjwduvzkzexlxokjdwtxiuyfqrpwwxpijnndimnhqlvobfzeeteonctfvlbriscrgpvqekyuvvkxakdefhsulozhzcahvebdwytaitwgohfrtkxysssfgtohvpqsvrvrprramogdvluovtopngvtzlcwatpwmmnefhesvmvszrgumumacjvbuyzxtqvfdklirpcmdxecqmzdgldkwanqynnrdkzivkrmcvzfvfilshqauvlqwyiunyorinzdzsqbqrhlyrwqaptukgmggubusrnbemgdhyhxpqkqhgghvbdihpoojrkeixfmlnssmbrdrbtakcjhdopndedovnsekzsvnmqzpjcilwixytedhwqmatbxgtdsvyoimghcplkchvzhoglycbkevlddhhwcfmmtstvhgimodnvttirxkcdhphmyqicxuoqojmyqwkgzzdsvmmsyqyhhftgxekuybkpmyneuzkvyqotccocsmjztehqismjvwyhxnmtmwpmofgqhuuzifabkitscfdxdbeaqswcplpdqxwztsybyaekizekgijjlqmciiezvvfludmnvkqvkwfvvkhburnfjbjrjqrglwtgzfvwrmsdkzyglijfbynkzwbkmuqasjirodqhrilcjjkvtvcuupetoigacwaviioyogghorjacvvyrxsnpzgdhodlngivqzvefbowuxwzvrxmqrzfqhixwoljwtgmsbtafhwzgsablzpbrojhythwjshfnnsiqnixuezcyzejztmqkvzkrggaangqcayupislornmqtvrnjjzfjjyrpyuegmiimcxuuiinywgrrxgajfhuqhlhghlovtxhywbuhlifhoyanfdwmmqduekcnyqjtpqrouovhycrmcrbhwawjqzfwlhmjzvdrnwfjmcrkgiwibasyaojspqraxdmyyrpnnuxayomeyjnzlfzntkfiawkzbwyznnndkkfiarnycczphzccjkmmgwlktljizynlkutkmikqkkgtlivwshibewlzhwjixxtjrpwfzgwkqeddobajiimoezpmv", ["mhuqvbuvtcdhmzkavejsca","qqakwwpnwbuqtrtnomruvd","thfplpjppzipjenarjdozw","fsmugdobjjioyvdhnsivks","bxuvhyjguqbgmhmclvmvjk","rnuehcbrweprzypiglbhun","rgqebezmoqzkwjnzcleted","rtoyhphbeyhwckacwruydt","jqslewficyeqwlheonexkj","jmnffhfjcqbvcftjqvhung","humxkqwuzfiomowszaiavm","irvymfualbwxagpwcrbnfn","bdhaescbekscihjejuhfth","okdsbgfjwimdksxnwezogi","xroglwogdeqjwupcdlmrrx","momislyavwrkeegskjwduv","zkzexlxokjdwtxiuyfqrpw","wxpijnndimnhqlvobfzeet","eonctfvlbriscrgpvqekyu","vvkxakdefhsulozhzcahve","bdwytaitwgohfrtkxysssf"]	[20]
