""	0	
"rlyauuzdrcnjkphclffrkeecbpdipufhidjcxjhrnxcxmjcxohqanxdrmgzebhnlmwpmhwdvthsfqueeexgrujigskmvrzgfwvrf"	13	
"wapdtutpbztygnsrxajjngcomikjzsdwssznovdruypcnjulkfuzmxnafamespckjc"	12	
"zxdrtdgyrqscczybnvqqcqcjitlvcnvbmasidzgwraatzzw"	13	
"wmfbfjkncvkelhhzjchpdnlunmppnlgjznkewwuysgefonexpmmsbaopmdgzqmkqzxuvtqvnxb"	10	
"lqzkglzamzpdnsjolvybwxxttqognrbaiakqllszkhfzconnmoqklpeefsnsmouwqhodsgcfohesyshmgxwtoayuvnojdjftqtw"	15	
"bapriujimqwspslgvlcsaqbdbgwtbseettwdnfnbyjvpdjxyuzqxstatbzpctthoofremgfkrbcvkzvgbofthgojh"	9	
"naywpnbitoraaibednezwfpdawlohssvtqtkfvsyljzlucqxsw"	10	
"qdntdmfrtzlqsekejhzksklfepxchvczysvdgcxbbiswmeaylzifktmoikssfxtgpojxq"	12	
"ysrsqfwqdjqnqcgdqrnlluieazvmwnuuf"	10	
"nxvloyvgmliuqandly"	12	
"vfauaosnlnvacsvpiumoiawcqxswkqwgxyazntnaikameybnuqb"	10	
"qaggxachrynqxqqmlfotpqhvokiiammqmvxjvbsoaifzyxnjcberrnm"	14	
"xxsyjhovengbpyqrixqgwdrygxrxkfhicainhwilkqmbpeszdigznzxtzqsjwatycbmjawwmninepfd"	14	
"plucltxmkpvgrrgtuseurageltkcapwpbqromqawixezqkvlfbhwcocpjmrmbpbegvsuluqtuuvkesvjtdhvtjmexfq"	14	
"vufdpaxcwnwqjtbplyzedicwsodpwtqr"	15	
"yuearhwgfnpaqelofrsotqiktxipqzeqvlqmuoubbjbrpmixfclb"	12	
"tnosvdkujcpwsdqhxrkiueziowoqjpiecwxxbjtnmkjgncpmv"	15	
"uqgtausokbfugjtfiuqbjclvlazamucimicnewdoxjlfuem"	13	
"adgkhufsuevjaxrnivcorhfrqqwnujquoyevslqprlyskrhunljgsoxleuyyfqutozqhmg"	11	
"etyyepfaesjlkzivdevdllygazxjndjrxhrdyyddqnqdoayshwxshxzjywu"	12	
"bffamxdnxjqoyirmirernekxdlicjfqkkvnxuqmszcixmzkwsqoiwyfalpeuuugfrteomqinuqnirxelpstosaodqszkogr"	12	
"bxtnpdbltqtmpyyeqtujuiokcowswqyxntndxqqsgkhvihbaawjuga"	7	
"loddktdji"	5	
"ynyo"	3	
"suozryityjrifximkyrokktvusu"	8	
"qiojfckyatryekijksvusokcyeavwufpctajxkixdbxjm"	12	
"twcqqxfbbfhbadvfuaaujxfrwkvuuhepdifvfkyhsfiuleafg"	10	
"apahjwtesplweqfmnmymtqreleinkopmfpvomqueghdmxkynwxzqnswaxgnjw"	12	
"xbuusgkmnqwqdvadiwahoqakqzqgkmlhqfdimnwzgsplorownpgehioxhhfrvqalwdtksslykajata"	15	
"gpdmyldxukdnftprrumbmemlrowrhwoqntclgh"	10	
"crorzhgsbaecplpccdyvnxmdmfhaoplqizkhiqbjtimitdkxiksxjecwmkwabhslievqvwcqeqaztkyd"	12	
"rbgxdcjpalshgepkzhhvlxcbxdwjccgtdoqiscyspqzvu"	12	
"ivzptlpvooynyapgvswoaosaghrffnxnjyeeltzaizniccozwknwyhzgpqlwfkjqipuuj"	11	
"wtxlbznryjdohbvghm"	13	
"uiggtyqjt"	5	
"uqinntq"	4	
"ihntkddnalwnmsxsatqqeldacnnpjfermrnyuqnwbjjpdjhdeavknykpoxhxclqqedqavdwzo"	9	
"orrwwxyrhlsrdgqkduvtmzzczufvtvfioygkvedervv"	9	
"dneghbctcbxdxezrzgbpfhzanffeccbgqfmzjqt"	8	
"rsppxqiywjobspefujlxnmddurddiyobqfspvcoulcvdrzkmkwlyiqdchghrgytzdnobqcvdeqjystmepx"	13	
"aniewqmoxkjwpymqorluxedvywhcoghotpusfgiestckrpaigocfufbubiyrrffmwaeeimidfnnzcphkflpbqsvtdwludsg"	15	
"ungfzoihbxifoprwcjzsdxngtacwtjypweuxvegybogsfxqhipbompu"	16	
"pxckicaghufczmaccgwigmrqcteqkbwbaamicoqlivnjjoomwkucznvdgztqarsargkwuaheyvohle"	11	
"jqpopdjslkoelfynzeavaaceazuimydypvmgyxblhppuunkt"	9	
"kqtmvanuuvjvahmvvuvsvhzkywhmgchqvdcqdpmzmxwneikzfgtantnlpwzvahnvkplpfaotxngexrfczzdmuszlobiokvkw"	12	
"xlr"	3	
"blvotzomeqlftxzlzkbcsqmnciazvrzyeupyvdkbtwhpvgcwteylwkbyubxruwszshxpmjrhfawdibzbfypdksbhtaapzs"	13	
"rbnjpzcxecvjmwjqdjhgvzjcukfjjzacbpnsoppvtleijpynyfvuefyyrdjadjegbsypjom"	9	
"brnk"	4	
"lzhsvbwczwtdfvirbosvmjfcymdrzqzkpgemjaojyjofeywimqdackdawitxysjqzncipttnc"	14	
"tjhrtvkwwojbqhjjfkboaccenrxihcsanbtgxdcttnujvfscrwqtyuynmxwvbqxorquowzhpmdzjlrlc"	12	
"cyoywbmvzhxpenhvivth"	12	
"ivkhfxbqaquyetwifthnsxrggoqbhxiqsvzzscqutmszfqjnmtaeqtmykcbr"	10	
"kjuhltznluiyokfhvstouzgqmeaogrqs"	14	
"mzohydtuotjyysttlknmqdyvdpbxftatuqastvphoahpsdifnxrfbqaghdfoyhhsxhntdcctcmiupqzeqsjrkmzr"	11	
"hfoooioyvjdxnwbzhvqzwuprgibsitjpazfritpfesfsqgrxekxcgmtmvv"	12	
"fqqwspdjxzaddukvlqpkuzjzhwsutpcafsyaibjhammegwbtpqelrnkbldxguzgcseccinlizyogwqzlifxcthdgmanjztl"	16	
"anviaj"	5	
"chhkdxlrfrohmxmsmmhvodihdvfnxofbxmlclxvrojacjpwxbeurhcbmzgz"	11	
"wgyvtlzeivxygaappzosdikkmlwltxirdioytnfeieepehgvgvqjfavsntfiqnbvxputczznfdcmkkhshxd"	12	
"zyhormwjcxfbobwrcvehbitnsdgacjpeiysbmrnoqssfvoyxke"	16	
"lmaygfgihqznazgdmzqcpiuudjucv"	9	
"jimlivqpdzhfnhevksudvjlrgrcavxzehlrqgjhmj"	12	
"tyzztjsnopyagetjfqiexqroiayrojhjhgiarcpgrniysdhztpfqhwhpyfioopxxvgxniovabdatgjszazsiwzz"	13	
"eiluxirvqqkzefbhiddqmxrmxjwtiwrogckdldadtkczp"	10	
"hzikpujhjgqfbbbtrhvcnifnmbaqapyjrgvgdfpmli"	9	
"njvgaedetokjcljsnaqzrzuacbpqnxjciekllnpedbpfoyyczqdspxstbkjqjtsuzcfkrwrxygcmfaqgttyitteudn"	11	
"mgegginsbkjyksbyxdrfwkfhfylzbalqjpyrxmjzyvxknyimezramyjrxwtaxesgurxtfiudfspss"	11	
"gwzzzlykevhxxgeqmahltovorbiivcfczgdatbkaytxwzdondvazjwpczxkw"	11	
"raaaecthnvggteiysvcpwdausevrqrsjstjwxffkaltvrbulyyaudcqvglowdggxbpvzwalxogufhotioteryvoeicbn"	13	
"jkoahnxibwwhqdrhwzxsfpqadujixytijjjqziaaewjwccfyddqjuijzdu"	14	
"ctclemwwlexnkvwizzoyctqlnzxoetyioavsorrbvoqflpqlqgluzdgoefckaatpdohtgaxdqnlceb"	13	
"uhapgfxwkcaucbnrgebbmdypuoaysdnnkpesuboedrbhuqbauedghcydsabmeoboffjcgzglqj"	11	
"kawmucqdlubpmbqyfhcwmhfoogxzxguhiswdwmiigjzu"	9	
"puuywsnezdufctcjqmrkiwhwerepqyehsyirqvxryrwbmbmepfpzeyvkrzajzesteakwvhnwalznmnrbu"	11	
"c"	1	
"gxjxylixrbtvbdrzngxnrwcglujfcmellpkmctltueqvkjuxprmippoajyinmmyxdjjfevayzqtlzqiojxybmndxl"	13	
"mxzlwcwgjadjaebvqalaqxxpyjedippvooimtgucixoierfwsrwkqubqfftqwinmxvzsdtwl"	12	
"mvxeatytrillkbtpvlofyaetzwyttlofiljk"	11	
"hexspletgvqrjvpkakjyietvszdfknlut"	14	
"ojyseenuxxpohrysqixldpki"	12	
"xvitpvhatbezoawnpkwjkpbummzdzhayflrugawcbabrayhrkdcxsdrgsrmrampfzibgkxinzlgb"	11	
"ntwr"	4	
"tlbmstfemisdnslpavokkovqphekfxiaijmaeugqcbtrvggvdxfnlcdajjnqgvqpedrizaabbtswbb"	13	
"eyatlcwnoiaeovvdbaxlzxlc"	10	
"gwwhzpnzpgkrfahnambyjhzlelkbwobfkxmkmcjbiwupwccwqguznwmrhyufmvkyszi"	10	
"buhlsdbofdmxjjyyfkroiltuievcffigzrtrvuhcaucldakkldyvprszxnecsmkugendavhapjmukyexdcsutmutzyvumiosmbx"	14	
"wfpnodhadnxgpsblevegvbahlqcxrzmqebfvgpvjcvpupqfvnlbio"	13	
"satuznvldcoixuxudcpvwelbcbodjejdecxgpttuviduecokeefa"	13	
"sdottsfabigfgmxbgryqusuziefojibcn"	9	
"vjhcjklpstcpuiguydouewzjlkrmmhbkql"	12	
"zxzopssgmcnicswxwtwheibqvithyevzevptnicckpknjhmhakogspypzrwxyuycpoxewzgiqtxzcjgetxkmmkbob"	13	
"nbumdladpycygtrgutpdzlajzovccwcqaycfjeibclzkgsqanifmtfxsusuyqzoqxsy"	14	
"wgkatllbfdesljggpdalxvjnwygvqegpmspgdcjignctxiaonazkxiyvigrbkzqwsfexiogodkjatlqioptlatjkzcllbbhtho"	14	
"pezfhjqkecapqsidubmecoqnsrulakerofyyrpivrkkheumyxzdzpvmhmjvpvb"	13	
"khfkyusvneiwjcijajmbzjqiwzfnuhtgoaqmukhjrpfauojwzyxyhnjfooslxorlokzlwjunaanuqzq"	13	
"zqqifzoupifnwyankayhjsuj"	10	
"kgklyckqsswtiskrzxpzackccrlxnwrxecifeuvynrrxlbqkbgkdkufpnsmaqdavhka"	10	
"fxluperciinlqxoctvrindifjkaqvcgaaruryntivitnhjqcghktnvywfb"	13	
"cfuchoyammwwjerxoapqiwbblwbjdeygkskti"	11	
"uwxqsiwjhklwbtvc"	9	
"gaaqfeqlqky"	4	
"thgpgwkostwfhsgapkzwmzorfefwofihmoz"	10	
"mjkgeilldtosfnorocltisrxxbelrdhdormtaxeftuxyhosxsdtbxkyuoehfkolyfxt"	12	
"wympskqcaibsnutkhtevylciznigkcohccyw"	11	
"oaoychlycvfwbcuofepuowfqmouoordfttdvapudkbzmgvclzsfpomiaccq"	12	
"vvyppdmrsiufkvtqqvdrnkjbzrddtwwrtwiiaucsdwzpushmomgdyp"	12	
"xgmdbibu"	6	
"ycmyxoscnutjmcvcqdgoupocbremu"	10	
"qsdcsctneihzrvboyrsghmvvpyovkjvadadwcylggshzninnbhvjusglrvibgdejgjfihqr"	13	
"kyoajdpkllvhfeswzaahfeqlnyuwqnlblbdwesjpdewjiohjqjqynjlchhyxulagmdcrwlgbsf"	12	
"cvwomfgmtpxxyfywzjyhycmpyxxbrcowakkmpqakixkgciectdj"	8	
"hvghvgiokykkkuycnymvwydagicanorwladiilxsmhfwedytenocltcsdfusvnognrrvfoqrxv"	12	
"dyow"	4	
"dmgoijilqeelsstfmkdtatkaobforctuqbjyktmayqnqkhxytarwvdyjfdawhvrywcyhx"	12	
"jvcxnpglnbnfxjkxspbuoiphimjhvgteewbrnhcajqhibugtjjqzrfgctploygteewvrgaupsbztxhohqegkm"	15	
"mfezuefpiklgbrgviazktwrjfiooucdihjhdqosayegcxozgoaqjzjtgtjunlzvuleydvqdtwkxuazcpzuaafthzedor"	12	
"mmqqktlcyhbigvjfzahvahawozcsouxaipsukgwipz"	15	
"vuebvgiqgpregqhagdzilobfajdiyddtzhwvpgnwyecexlgfofozvrgvamfarlvsuspkydiyjkegwkokpc"	11	
"kvuhvipvzaquwkjglmojyzogxyuhqwvctsmoadlcfewbq"	16	
"ibuwnuxdaudvevtbyntmduprwuvuvnbdrvcepzjswmnckidivxubrjspdplacmetkizbjktfzihjrltoknpdyhsdyf"	14	
"brjwdryfbkagjjqscdlqnagqapkdophrispmkptlattjelegorxbufruwdymshdbzvplkiykbu"	12	
"gfcowtlznsrkpwibprhss"	13	
"heopebsyzagbpcwcbmvuwmrgpixwarajvpycssartgskkqomcjiax"	9	
"gnhfljxmsudswvlxog"	11	
"gsqygebs"	6	
"bpoiexpqhmebhhu"	8	
"ehespkahcyng"	10	
"hudzindgevprzqaikfotkiiwkpyjfgmoapnjetrjogcqweajjr"	15	
"vzntkervlzhaaznlficqziupgyrrkiwfkjzwpsrbsabszqfhzhxarspzqirctpifajb"	10	
"busvutpwmu"	7	
"nbcnuweuponrhczmck"	11	
"tmjmjehzattfixjvrgbnvqamxcomgybcmlow"	11	
"vvrrqyznhxfnyskotzoxnagnbicoyafv"	10	
"ymnwobglgtlagcvf"	8	
"vssbhvljkjjpegotukhvsudohdujbzbwttxcpkmztxq"	11	
"eesarbxjxaxfftqgsscnlbqclcbebsgfyyhpcebzgagmuxuopxccasfmwisxcyfbzmsdtv"	11	
"zwlnqiiezhibhaivyroytoduprpukkzmgkzyuhdtolwyoftmwjmpapmrjbmvllhsxhsrqvkhjgfznynjkabkrnbaonybafvxooo"	12	
"laoujtvwtjifjjpawtdmgbpjilgzbxgm"	11	
"ujipehkppqyyhbwaekjhzspmaqpxwexsnfjtmujbmhbvkxwqjhxlbpzbfpzctwwibgbqcmrqwvlgsjxesuptlqvrhuvasrkt"	12	
"mldydtwyhdsqaylwpekgzbnvyqnrajrouupxqlxxospqqapgfzmgcbccrptsym"	16	
"tjxsz"	5	
"swzknqaqhgviudkwfmpxhjvusqdp"	14	
"cadaanpsnfzwchsgtqlhikorgijylbjpbmrd"	11	
"hxpmwnpffvayihgtyxbgjzumllpxdtxkqowpbnwikzgtioogoppxqljbwybbtanmom"	10	
"rzzzkyifjytpmkejcrueovhrohfavrdmqf"	10	
"cfxhowcgimmupeovulclalqcghiuaphcwfkn"	10	
"mtlbfhsjypdjtrlehokrygrpnvluhyxutlxzspkqgqczhndqdphbvaskwghfeezyryzm"	11	
"jevzgu"	6	
"uzzxoiblltwhbdogjogdofpeqvzqcwawvzvmi"	9	
"ztsxctaqbmgjrvoibhdazfwzdszbgjzferdinfaqthakeqsfzyhyfeyjyxkgijlmdqwswwkrf"	14	
"cjfwqewadcebneazmkkxynquhmqudwghhlgascavggytkyswidvislcczswfqemaquaizaffgdzsdtqnwlvrzxt"	11	
"rpdivsinokxnkctsfukinavkn"	10	
"dmpwnhnqrikbwzltmvyhnfbzopzlbmeebvcocpg"	15	
"zrwxshreerotwpsmgt"	9	
"jienjbrzggfbiyafqjyxopljmceyjzysheisgzrmiznqxpvqzunpjyavaewleue"	9	
"zogfnztvyilyyjoxdbmobmmdtipzevmdjskwudusmhqmqgjvhxmklyogidfmas"	13	
"jmehgkdzylrkbytzhslsfjgmtlrhljbwwgfcqjdquxaxvvwenjw"	11	
"u"	1	
"enpyxchyyfeekwppmjmoijjhoyqkrlpxaexxhhwhmcnyb"	12	
"opnaewkpdyovkhizgjg"	11	
"iplgwzjkymoobcqhaax"	11	
"alanujmauseehrlgtwsrighlkxtkaqpcdspxdczzwgdgxqmqmgjwmqkx"	10	
"d"	1	
"qvbuatkzwoyxke"	12	
"scrgufmgezwoyotjg"	9	
"kbqflpdznalsbgwumsbzyhyxvylqhseutwzgldhzfutgapcnhgminmfjmqbvkgpfe"	13	
"lqwupbpikrzoeiusqigvtsouoycfehwrxsmowdyguzubhptazaxsuloikroqamjxhvndallx"	13	
"fytwttvvrpqegaqxogzdqyknlpqyanifldeezbcstswzsnyjvxmnvybinrgngqurtyxuazmvrlumyuvvrjjohmwufchls"	11	
"encbieduzwftifpfdgomwvasphwyuoaybebjieghdncltrryzfmvdmnuvjtpzvpc"	12	
"qohxuqcjsnelgckmofrculxfemgbdicwyjvsbxetkierlqfbxyetjbyqqgrtrurpfmkh"	16	
"ocwyjpjzunxsrqdurtkxngqjxgokqxvgarejgqkadhuuayortbqgjhpgpgsfdolffrqmhbokklgklxdeywnhfepukibqwoxbfqpn"	13	
"gzdrgocdtidpxmucbqojrghfel"	18	
"uaangzszhibmcmptjbqnfgcoykyfojskluzuwstdaxqejhyuloiqumguwecnnuzbpzvntoqvliawsatdobtkpzhlejytfa"	15	
"wzrjugcptmrserlhhoaudcboimpdrpaqqrzmxddtqvluoweymgspitfshwwynwqfnqrnv"	15	
"ilstiirmgduyuftzxawvbjrrphjiwffgszzcisqoxlprqkqnloloaehrltzjahps"	12	
"qxoknfhywyogrethphhtrahkcsmjkgpcdgnrnwpjxgpqkjxbshwlhfxjyjskqkmtqbkdycovi"	11	
"nuokvjrtubzukzdfjtpxphzzmzbawlfjfuvcfpwbqxvcyzhhuygjhhltgoteaznhvlkaaidq"	11	
"zsfacoucwekerfmfzrhagpxrbxtl"	9	
"jsbezbgnwklcupvaeabviddxaxazqlbcddgcgoreaci"	13	
"udzyeavofanfxngqyhubmaftqyzq"	12	
"inylowrotfvusctfijdsdggfnbxnbqsjfqwupokitgcmiwtthxlnfruvt"	14	
"iui"	2	
"fprbjgpuqlatxkrsdyronxiisbacxkdczwdlevfughpftgxzhpnuo"	15	
"egagixsnbujffpcmkivbpoimnrddnrcuzdakatxc"	10	
"jjsangmxbomryahpekexmyzrzjsu"	11	
"wjrfduujgrkuddsfkjjwqjjoiaptulbquvxxprgvksqnwktiwefmpqczsusnfufarfxgygbjatywgth"	13	
"amqpcsrumjjufpu"	8	
"wteubifcbeajzhnzvdrxyismtdgbscxqyclzksdnwgzypmxlsqisaceuglvapurnyepkwuavaztqnsbhjlzjoefurcw"	13	
"znwxtliqfklileyywbihmhtanyweb"	10	
"nakjzewjudthlenlflontbumdimcopxbrhmrlkahqwqdafphrfumgrakzmmpclttshmgsnpilg"	10	
"lncteipqqgschfoxjbqcuzrcrerbrzpcnrxtbpmsveudjlcsmuxitoknueonfdpsxpmaeyubepgociiqehbyxlltrbgx"	15	
"ypepdevdzwiqdyungksqlqnzdjqe"	11	
"nlpfrekwzoxwynbwjqetiuhakidtykkoxavpefngvketzfpivudgqkgasmvtygjxiemmjzuhlyakfsudoyjekrhffcydkjbsnphy"	13	
"dfcciphajkojvsunbzsezyqiblvquvjxbobjdjjovzyrruettyzswraxexqyszyvnzgsirjeqjxkdbfwzeqyxqxcpnchpafccl"	11	
"kdgqtpndsqkqsqgqoynsnduwsxbwznvlsbensttmkdceukuiijaxowugtxfukageeksydllpontiansizuinrc"	9	
"mbdhofnslzkkcvvsmknukdpvcjdrchppiuyyalrlmbxqz"	11	
"ilfyhpbwmdgrwiaozjixhikawwctndoxotvvkwsxbaoyipmiaufjfqm"	12	
"ooybtm"	5	
"hfwestwpuwfuhwipyfwkkowpdknedafmhcqzxpqrnyouuwlvbifnybcbnqisspezrwbqlrkbryvoujjytonr"	13	
"qveidwauczoycemwonnmkbjvkjoawgrmdvwirwctyquaviylxmyhpjfcstcqbufepbmjyreyhyae"	12	
"zqfnqpczugtnjjrfovwqkfqbmqimqpvrfaevr"	9	
"ulppbaysfnpefzlxcxnnkdcfvjhbezkamcppenhkczqjabgdztsjxuqudxxjyijlmaaqpkculsdlwkqvdigc"	13	
"ywjvusw"	6	
"djsfjivvnpihsudcmyixgkbejncffyllhdq"	15	
"nnqacyixulbjmjguujzdwdkebvrkyhcnxsoztyynjaw"	14	
"jesfotkmwuszpjjptldqgtrzrqocslabruhfntslomkfwtvpgahmty"	13	
"kqemirokiktoxoikcuuispfjwhqkapymhcaqtpcdzvrzlbloygyqvf"	11	
"tmseo"	5	
"eapiahdrjgtgyurbfhzlfsjmucymimwmonupuxideblevcfdkhorbzevecjmrfzfutworhtxiebgjijtrzksbqpfvzrmgqtb"	12	
"srfzlcjrdpanavfcizdypitqzhysbzettjsgnbxstafvxkxfmaebizrkh"	11	
"ciridmtxsgaryv"	11	
"frrsowepchzcajjrntivyuqvoyxgytzekswypcptjpvjagaobllzhewwcuebnffxydxp"	9	
"piqggbgobwsoktwoquqkarzfyyfdxukmfasl"	9	
"bbhxtvhntxdpopphqxgqejnbwcgyutcxujvqgedacirszjzrihhmtunpwtpt"	14	
"rqjcnzjuelymcqnlretbliuhvlgrazdurowhnfbrszfvrsiiwejjmfrjsxavygprunykvbdnclitdtccxnnlveundxiddzvznvl"	11	
"xpxbcivfbzjamznjfjxjgholjllyhwignfhpnexqdisshfbnp"	10	
"yximjtyurhsbniiwxwbwogfhyomabdazbkokdmgwtyxiggggejcuqjboyqqztrbudpehdmfylfitnobraglqp"	12	
"epfvryouvrlbaoogoblwwamyrmgeexvjnagebuyynjzoznwnqjln"	10	
"zncotiuqefdgljjhjhxuhltwjinsvadxnfngnhytncaynlixtfrasnwbxlvtlysaffgumhqzjqay"	14	
"kvwppyjcxmzihuuhmworfigmyhvqhtutrskgrtkofjwogsvspjmuusguzdnjyhcrbnxsijiovfcbzavojh"	12	
"fzsabvnkwwmnxbnskwaarhcuhcqxoxktzcv"	9	
"aikwgylgayymxymqiqlptbojyycxbyzdijbpimvknvykvkadalsvohepf"	10	
"oiholrxmihbftoarawdazeoubedgtkpityygpvvafwfymgsmcvodbexd"	11	
"clencogamorkjrphxpvfjhjfymie"	8	
"npoyubakjcxawjlpatopotzycgyrocdcstcovfygjxghgsxgnnybhzblfbcvehzybemyjkesilaqf"	11	
"xsmxvvwxhdylaeva"	9	
"weowpbajlnlbskamzxiuthdyhpzmkzoiffewggftwruqdxdculxquaobrnn"	15	
"oelvjrrrazkwqgotdrwyevqyveanupskteiexzvxyfvqmmkrfipkdfkammpieisxmaclczlcfgvtsfkypcksjwsxlifpqaoe"	12	
"srescjzjeudlgdckpuuoorzyzqqzgwbzoitqtubzqhmwkohckdqywpzvh"	11	
"wpoaqekjudfy"	12	
"vfqsrebtogjmcanajfyzvypzibtngtrca"	15	
"wslznzfxojzd"	6	
"ji"	2	
"kdkzcvaykjtcnuljmzkzaryocauolcavimumjxmuggyvaleokqpljqblq"	10	
"bbadwisswbrjxzrvurjahtswebminedofdudnmymnp"	14	
"nrmklf"	6	
"oongktizbxdfllkhoatmmjejwvxgieayspfeipfkmjrzwbhmdazpjfahczokdqlxfqcnfhxrsoqqsz"	13	
"vacnljpvlpjxubisgawvfftyajrqdq"	13	
"zsxoggdbtumtpndjvehqlmjkmvdfytyzoynu"	12	
"txapjveyyptcwjqlvczsfeqafsodhkjahlqqgwofojjmtzzqbzigfajmsxpai"	12	
"crouivtycjknvdnxtqydzddiqyhharkejbztwutaddnaicxdvvgubmetklckfpoqqpjojeqoifrqiqwfocbpofkasomzdbpv"	11	
"ajefbsnhlfrcbwqgxhwctxwhjwnmlifmujtvdicpn"	12	
"trrjzosv"	6	
"lursenhsaqzomihhopmfffywxjxnbsgonzitmqloilduvkblansfvqdubahcupshobccrqrzd"	11	
"vaewogmglhxqbyqkdlaxuqyztrrksuenwkmkryrefqvions"	11	
"au"	2	
"xlrwelnqdjurfgdsxdjekzzspomlphemuvkagzqmimfpskhsnqwxrxrhlfucmyoivyiexyqhkxxfhgxuzvtqsmzfrtig"	12	
"yopxztwxlgkifpplmlkjgddseilasrtriiqhdoeouqwzfnntyzcgefyjqkjideblptusibjerhgxvt"	14	
"vsvexacisotbuxehoychifsowzuvwnouilyhlcpgtkjnhnwwnyfvfzkcygzxwnteyrnmvcsombdvqateaabgznkaujzqzswzjjl"	11	
"nfvbiywbasfbu"	7	
"juutwqevgdncdylqeyyzzgaxharod"	10	
"xoithejobprotumenselsftseduwrakoosjyysmzhfpccdgpvmaptvhyyewsggiuasuak"	11	
"zumqwotffqrhglcpldthvzpdwpvqpizqclgabbfgrznxmrnzuigpkxvgosyfaxxeidflgmrzngz"	11	
"ymyswgkgdfotxnyakvevalgi"	12	
"ailghngvnbtulazsqvpftrq"	12	
"wnrhtahvkvcrkkoxlhtyjvsaqifjbxaxkuhgwqbg"	14	
"fzvqnvduoeejwgzgnl"	7	
"nnhzhofffhlsokqgxlkuzqalmimvxxdknkkwbrcganapaqvzbhtdxvomdahdamnnwzjzrlh"	10	
"biidygcc"	5	
"yfntvbzviexurkstwsmjzfkjqniwsmlqralmbm"	12	
"lqjfkvadrurbvwnfobpmvbyluawicltnbcvnyxsprjsmigtwjijeljrflpnnahdelarjxkbqttebbyakijquuhbfxrvxyabj"	12	
"vvzfwrarvctvedenwajdboaulasldenybmfxdgobkjwopcdlcmogcra"	11	
"tvzyb"	5	
"xcbebfkrgubeiqhldlzttckwqfrpeuedwghxns"	12	
"vorzzhimkumepoqlgwevcycfwiovxgksxdtwlcixy"	11	
"dnkuzqsdoweqbaapyxykrxnktymdykabykxzbrernkhqnjiliivzfijyjwdhidkiokhrboipyrh"	10	
"apwixrhccscloguzjehzorqsfahdrortgnddhkijfkuvsoucucblvudaumfmcwhiklorxwaciwybmsfgwitrcytzmzlpvszhfn"	11	
"dlcfuadxmycvumq"	9	
"rphqbgbse"	6	
"snbfqgtulnvrmhpoejcvxtmfjnnmgriahlfxrarenovzwk"	17	
"cwsxtljaxz"	8	
"jhhthogonzpheevzetkvygpvbdhcaisjpbfwslmflbopgmqmfcjdkzbmckqeskpjluhditltvzkdlap"	12	
"dyynzbbdlthfdzopvvudpfymhipslenqemfenhjbcrggsxxnsrtjxrveckypqofxckbrtkswdbex"	13	
"blqsearxxxbiwqa"	8	
"vxoiafdnybszfqxibpdhrugpsizqyzcwzqg"	13	
"vjovnhuuxtdalgjccpruzqkysmwrecsalhvaqsvnlynygybinufpnpnfejyinskybgzrywelutkctnkjhryujnbpwbxl"	12	
"klvqkpqivdcrpgkcttmkrgtekiclinf"	9	
