{}	{}
{-72,-59,-44,-41,-24,-17,-9,-4,9,19,44,64,75}	{-9,-41,44,-59,-17,9,75,-72,-44,-24,#,-4,19,64}
{-98,-89,-88,-84,-82,-78,-68,-47,-26,-14,-11,-7,-3,2,15,18,50,51,58}	{-14,-82,15,-88,-47,-3,51,-89,-84,-68,-26,-7,2,50,58,-98,#,#,#,-78,#,#,#,-11,#,#,#,18}
{-97,-95,-87,-67,-50,-45,-37,-10,2,29,33,53,58,63,69}	{-10,-67,53,-95,-45,29,63,-97,-87,-50,-37,2,33,58,69}
{-99,-98,-97,-96,-94,-93,-91,-90,-88,-87,-86,-85,-83,-81,-80,-79,-78,-76,-73,-72,-70,-69,-66,-65,-64,-63,-61,-59,-57,-56,-55,-54,-53,-52,-51,-48,-45,-44,-43,-42,-41,-40,-39,-37,-34,-33,-32,-31,-30,-28,-26,-24,-22,-20,-19,-18,-16,-15,-14,-12,-10,-9,-8,-6,-5,-4,-3,-2,-1,0,1,2,5,7,8,9,10,11,15,16,17,19,20,21,23,24,26,27,28,30,33,35,36,38,49,50,51,52,54,55,56,57,58,59,60,61,64,65,67,69,70,71,72,73,74,77,79,81,82,85,86,87,88,90,91,94,95,96,97,99}	{-4,-53,54,-78,-28,20,74,-88,-64,-40,-15,8,33,64,88,-94,-83,-70,-57,-44,-33,-20,-9,1,15,26,49,58,70,82,95,-97,-91,-86,-80,-73,-66,-61,-55,-48,-42,-37,-31,-24,-18,-12,-6,-1,5,10,17,23,28,36,51,56,60,67,72,79,86,91,97,-98,-96,-93,-90,-87,-85,-81,-79,-76,-72,-69,-65,-63,-59,-56,-54,-51,-45,-43,-41,-39,-34,-32,-30,-26,-22,-19,-16,-14,-10,-8,-5,-2,0,2,7,9,11,16,19,21,24,27,30,35,38,50,52,55,57,59,61,65,69,71,73,77,81,85,87,90,94,96,99,-99,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,-52,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,-3}
{-99,-98,-96,-95,-94,-93,-92,-91,-89,-87,-85,-84,-83,-82,-81,-78,-75,-73,-72,-71,-70,-67,-66,-65,-64,-63,-61,-60,-59,-58,-57,-56,-55,-54,-52,-50,-49,-48,-47,-46,-45,-44,-43,-41,-39,-38,-36,-35,-33,-30,-29,-27,-26,-25,-24,-23,-21,-20,-19,-17,-16,-13,-11,-10,-8,-4,-3,-1,0,4,6,7,9,10,11,12,14,16,17,19,20,22,23,28,30,31,32,33,34,35,36,37,38,39,40,45,46,47,51,52,53,54,56,57,58,62,63,64,65,66,67,68,69,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,91,93,94,95,97,98}	{0,-52,56,-73,-27,31,79,-89,-61,-41,-16,16,40,68,88,-94,-82,-66,-57,-46,-35,-21,-8,10,22,36,51,64,75,84,94,-96,-92,-84,-78,-70,-64,-59,-55,-48,-44,-38,-30,-24,-19,-11,-3,7,12,19,28,34,38,46,53,62,66,73,77,82,86,91,97,-98,-95,-93,-91,-85,-83,-81,-75,-71,-67,-65,-63,-60,-58,-56,-54,-49,-47,-45,-43,-39,-36,-33,-29,-25,-23,-20,-17,-13,-10,-4,-1,6,9,11,14,17,20,23,30,33,35,37,39,45,47,52,54,58,63,65,67,69,74,76,78,81,83,85,87,89,93,95,98,-99,#,#,#,#,#,#,#,-87,#,#,#,#,#,#,#,-72,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,-50,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,-26,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,4,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,32,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,57,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,80}
{-99,-98,-96,-95,-93,-92,-91,-86,-85,-80,-79,-76,-73,-70,-69,-68,-67,-66,-64,-61,-59,-58,-56,-55,-50,-49,-48,-45,-44,-43,-42,-40,-39,-36,-34,-30,-29,-28,-26,-23,-21,-20,-19,-17,-14,-13,-10,-8,-5,-4,-1,2,6,7,10,14,15,17,19,20,21,24,28,32,36,37,41,42,44,45,46,48,51,52,54,56,57,59,60,62,64,68,73,75,76,77,78,79,80,83,84,86,87,89,91,92,93,94,95,96,97,99}	{2,-49,59,-73,-26,36,84,-91,-61,-39,-13,19,48,76,93,-95,-80,-67,-56,-43,-30,-19,-5,14,24,44,54,68,79,89,96,-98,-92,-85,-76,-69,-64,-58,-50,-45,-40,-34,-28,-21,-14,-8,-1,7,17,21,32,41,46,52,57,62,75,78,83,87,92,95,99,-99,-96,-93,#,-86,#,-79,#,-70,-68,-66,#,-59,#,-55,#,-48,-44,-42,#,-36,#,-29,#,-23,-20,-17,#,-10,#,-4,#,6,10,15,#,20,#,28,#,37,42,45,#,51,#,56,#,60,64,73,#,77,#,80,#,86,#,91,#,94,#,97}
{-99,-98,-97,-96,-93,-90,-89,-88,-84,-81,-80,-78,-77,-76,-75,-74,-72,-71,-70,-69,-67,-65,-63,-60,-58,-55,-52,-51,-50,-49,-46,-44,-43,-42,-41,-34,-33,-32,-31,-30,-29,-27,-26,-24,-23,-22,-21,-20,-19,-18,-17,-14,-13,-12,-11,-10,-9,-8,-6,-4,-3,-2,0,2,3,5,8,10,11,13,14,15,17,20,22,24,26,28,29,30,31,32,34,35,36,37,38,39,40,42,43,44,46,47,48,49,50,53,56,57,60,61,62,63,64,67,68,71,72,74,75,76,78,79,82,84,85,89,91,92,94,97,98,99}	{0,-44,47,-74,-20,29,74,-88,-60,-30,-10,14,38,61,89,-96,-78,-69,-51,-34,-24,-14,-4,8,22,34,43,53,67,79,97,-98,-90,-81,-76,-71,-65,-55,-49,-42,-32,-27,-22,-18,-12,-8,-2,3,11,17,26,31,36,40,46,49,57,63,71,76,84,92,99,-99,-97,-93,-89,-84,-80,-77,-75,-72,-70,-67,-63,-58,-52,-50,-46,-43,-41,-33,-31,-29,-26,-23,-21,-19,-17,-13,-11,-9,-6,-3,#,2,5,10,13,15,20,24,28,30,32,35,37,39,42,44,#,48,50,56,60,62,64,68,72,75,78,82,85,91,94,98}
{-99,-98,-95,-93,-92,-91,-89,-88,-86,-85,-84,-83,-80,-79,-77,-76,-74,-73,-72,-71,-69,-68,-67,-66,-65,-64,-63,-62,-61,-60,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-46,-44,-41,-40,-39,-38,-36,-35,-34,-33,-30,-26,-25,-24,-22,-21,-20,-19,-18,-17,-15,-14,-13,-12,-10,-9,-5,-4,-3,-2,-1,1,2,3,4,5,6,7,10,11,13,14,16,17,19,20,21,22,23,24,25,26,27,29,31,32,33,34,35,39,40,44,47,50,51,55,56,57,59,62,64,65,68,69,70,71,72,73,75,76,78,80,81,82,85,86,87,88,91,92,93,95,97,99}	{-5,-55,40,-74,-33,17,73,-86,-64,-44,-18,5,27,62,87,-92,-80,-68,-60,-50,-38,-22,-13,1,11,23,33,55,69,81,93,-95,-89,-84,-77,-71,-66,-62,-57,-52,-48,-40,-35,-25,-20,-15,-10,-2,3,7,14,21,25,31,35,50,57,65,71,78,85,91,97,-98,-93,-91,-88,-85,-83,-79,-76,-72,-69,-67,-65,-63,-61,-58,-56,-53,-51,-49,-46,-41,-39,-36,-34,-26,-24,-21,-19,-17,-14,-12,-9,-3,-1,2,4,6,10,13,16,20,22,24,26,29,32,34,39,47,51,56,59,64,68,70,72,76,80,82,86,88,92,95,99,-99,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,-73,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,-54,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,-30,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,-4,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,19,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,44,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,75}
{-98,-97,-96,-93,-92,-91,-90,-89,-88,-87,-86,-85,-84,-81,-80,-79,-77,-76,-75,-72,-71,-69,-67,-66,-65,-63,-62,-61,-60,-59,-58,-57,-56,-54,-52,-51,-50,-49,-48,-46,-45,-43,-41,-39,-38,-37,-36,-35,-33,-32,-31,-30,-29,-28,-25,-24,-23,-22,-21,-18,-17,-16,-14,-12,-11,-10,-9,-8,-7,-6,-4,-3,-1,0,1,2,3,4,5,6,7,8,9,11,12,15,16,18,20,21,22,23,24,25,26,28,29,31,33,34,36,37,38,39,41,42,44,45,46,47,49,50,51,53,55,56,57,59,60,61,62,64,65,66,67,68,69,70,71,72,73,75,80,83,85,87,89,90,92,93,94,95,96,98,99}	{-1,-50,47,-75,-25,23,70,-87,-61,-37,-12,9,36,60,89,-92,-80,-66,-56,-43,-31,-18,-7,4,18,29,42,55,66,80,95,-96,-89,-84,-77,-69,-63,-58,-52,-46,-39,-33,-29,-22,-16,-9,-4,2,7,15,21,26,33,39,45,51,57,64,68,73,85,93,98,-97,-93,-90,-88,-85,-81,-79,-76,-71,-67,-65,-62,-59,-57,-54,-51,-48,-45,-41,-38,-35,-32,-30,-28,-23,-21,-17,-14,-10,-8,-6,-3,1,3,6,8,12,16,20,22,25,28,31,34,38,41,44,46,50,53,56,59,62,65,67,69,72,75,83,87,92,94,96,99,-98,#,#,#,-91,#,#,#,-86,#,#,#,#,#,#,#,-72,#,#,#,#,#,#,#,-60,#,#,#,#,#,#,#,-49,#,#,#,#,#,#,#,-36,#,#,#,#,#,#,#,-24,#,#,#,#,#,#,#,-11,#,#,#,#,#,#,#,0,#,#,#,5,#,#,#,11,#,#,#,#,#,#,#,24,#,#,#,#,#,#,#,37,#,#,#,#,#,#,#,49,#,#,#,#,#,#,#,61,#,#,#,#,#,#,#,71,#,#,#,#,#,#,#,90}
{-98,-97,-92,-91,-88,-87,-85,-80,-76,-73,-72,-70,-67,-63,-62,-61,-58,-54,-52,-50,-49,-47,-46,-45,-43,-41,-40,-38,-37,-35,-33,-29,-28,-27,-26,-24,-21,-20,-19,-16,-15,-14,-11,-10,-9,-8,-7,-4,-3,-2,-1,0,1,2,3,4,5,6,7,10,12,14,17,21,28,30,31,33,45,46,48,50,52,53,54,56,59,61,63,65,66,70,71,72,75,77,79,81,83,84,85,86,87,88,89,90,91,92,94,98}	{-1,-41,56,-67,-19,21,83,-85,-50,-28,-9,6,46,71,89,-91,-73,-58,-46,-35,-24,-14,-4,3,12,31,52,65,77,86,92,-97,-87,-76,-70,-62,-52,-47,-43,-38,-29,-26,-20,-15,-10,-7,-2,1,5,10,17,30,45,50,54,61,70,75,81,85,88,91,98,-98,-92,-88,#,-80,#,-72,#,-63,-61,-54,#,-49,#,-45,#,-40,-37,-33,#,-27,#,-21,#,-16,#,-11,#,-8,#,-3,#,0,2,4,#,7,#,14,#,28,#,33,#,48,#,53,#,59,63,66,#,72,#,79,#,84,#,87,#,90,#,94}
