[1]	[1]
[2,4,2,2,0,4,3]	[2,4,2,2,3,0,4]
[2,3,4,3,1,3]	[2,3,4,3,3,1]
[2,1,0,0,1]	[2,1,0,1,0]
[0,3,0,0,1,4]	[0,3,0,0,4,1]
[2,0,3,1,2,3]	[2,0,3,1,3,2]
[2,2,4,0,1,2,4,4,0]	[2,2,4,0,1,4,0,2,4]
[1,3,1,1,0,3,4,0]	[1,3,1,1,0,4,0,3]
[4,1,4,1,4,3,3,3]	[4,1,4,3,1,3,3,4]
[0,1,1,4,0]	[0,1,4,0,1]
[4,1,2,1,2]	[4,1,2,2,1]
[1,4,3,2,2]	[2,1,2,3,4]
[6,7,5,3,5,6,2,9,1,2,7,0,9]	[6,7,5,3,5,6,2,9,1,2,7,9,0]
[6,0,6,2,6,1,8,7,9,2,0,2,3]	[6,0,6,2,6,1,8,7,9,2,0,3,2]
[5,9,2,2,8,9,7,3,6,1,2,9,3,1,9,4,7]	[5,9,2,2,8,9,7,3,6,1,2,9,3,1,9,7,4]
[4,5,0,3,6,1,0,6,3,2,0,6,1,5,5,4,7,6]	[4,5,0,3,6,1,0,6,3,2,0,6,1,5,5,6,4,7]
[6,9,3,7,4,5,2,5,4,7,4,4,3,0,7]	[6,9,3,7,4,5,2,5,4,7,4,4,3,7,0]
[6,8,8,4,3,1,4,9,2,0,6,8,9,2,6,6,4,9]	[6,8,8,4,3,1,4,9,2,0,6,8,9,2,6,6,9,4]
[0,4,8,7,1,7,2,7,2,2,6,1,0,6,1]	[0,4,8,7,1,7,2,7,2,2,6,1,1,0,6]
[9,4,9,0,9,1,7,7,1,1,5,9,7,7,6]	[9,4,9,0,9,1,7,7,1,1,6,5,7,7,9]
[3,6,5,6,3,9,4,8,1,2,9,3,9,0,8,8,5]	[3,6,5,6,3,9,4,8,1,2,9,3,9,5,0,8,8]
[9,6,3,8,5,6,1,1,5,9]	[9,6,3,8,5,6,1,1,9,5]
[4,8,1,0,3,0,4,4,4,4,7,6,3,1,7,5,9,6]	[4,8,1,0,3,0,4,4,4,4,7,6,3,1,7,6,5,9]
[1,7,8,5,7,4,1,8,5,9,7,5]	[1,7,8,5,7,4,1,8,7,5,5,9]
[8,8,3,1,8,9,6,4,3,3,3,8,6]	[8,8,3,1,8,9,6,4,3,3,6,3,8]
[4,8,8,8,9,7,7,6,4,3]	[4,8,8,9,3,4,6,7,7,8]
[3,0,9,2,5,4,0,5,9,4]	[3,0,9,2,5,4,0,9,4,5]
[9,2,2,4,7,7,5,4,8,1,2,8,9,3,6,8]	[9,2,2,4,7,7,5,4,8,1,2,8,9,3,8,6]
[2,1,0,5,1,1,0,8,5,0]	[2,1,0,5,1,1,5,0,0,8]
[4,6,2,5,8,6,2,8,4,7,2,4,0,6,2,9]	[4,6,2,5,8,6,2,8,4,7,2,4,0,6,9,2]
[0,8,1,3,1,1,0,3,4,0,3,9,1,9,6,9,3,3,8]	[0,8,1,3,1,1,0,3,4,0,3,9,1,9,6,9,3,8,3]
[5,6,6,4,0,0,4,6,2,6]	[5,6,6,4,0,0,4,6,6,2]
[5,6,9,8,7,2,8,2,9,9,6,0,2,7,6,1,3]	[5,6,9,8,7,2,8,2,9,9,6,0,2,7,6,3,1]
[1,5,9,9,1,4,9,1,0,7,5,8]	[1,5,9,9,1,4,9,1,0,7,8,5]
[0,4,8,0,4,2,9,6,1,0,4,2,2,2,0,5,5]	[0,4,8,0,4,2,9,6,1,0,4,2,2,2,5,0,5]
[9,0,2,8,3,8,0,4,0,9,1,9]	[9,0,2,8,3,8,0,4,0,9,9,1]
[2,5,4,4,9,9,3,6,0,5,0,2,9,4,3,5]	[2,5,4,4,9,9,3,6,0,5,0,2,9,4,5,3]
[7,4,3,1,4,6,9,4,2,2,6]	[7,4,3,1,4,6,9,4,2,6,2]
[1,2,8,8,9,2,8,8,8,6,8,3,8,3]	[1,2,8,8,9,2,8,8,8,6,8,8,3,3]
[3,8,0,4,7,6,8,9,0,6,8,7,9]	[3,8,0,4,7,6,8,9,0,6,8,9,7]
[3,3,3,7,3,2,6,5,2,6]	[3,3,3,7,3,2,6,5,6,2]
[8,7,9,6,0,4,1,0,4,8,7,0,8,6,2]	[8,7,9,6,0,4,1,0,4,8,7,2,0,6,8]
[7,9,3,9,2,8,3,0,1,7,8,9,1,5]	[7,9,3,9,2,8,3,0,1,7,8,9,5,1]
[9,2,5,7,4,9,9,4,5,9,3,5,7,0]	[9,2,5,7,4,9,9,4,5,9,3,7,0,5]
[1,9,9,7,8,2,5,3,4,9,0,2,0,1,9,6,2,1]	[1,9,9,7,8,2,5,3,4,9,0,2,0,2,1,1,6,9]
[0,7,3,1,1,9,0,5,6,7,7,4]	[0,7,3,1,1,9,0,5,7,4,6,7]
[6,4,7,4,8,5,8,2,6,0]	[6,4,7,4,8,5,8,6,0,2]
[6,4,6,2,8,9,6,0,7,0,1,0,1,3,7,7]	[6,4,6,2,8,9,6,0,7,0,1,0,1,7,3,7]
[6,4,5,2,0,2,9,0,9,9,4,5]	[6,4,5,2,0,2,9,0,9,9,5,4]
[0,3,7,8,8,6,0,4,6,7,6]	[0,3,7,8,8,6,0,4,7,6,6]
[9,7,5,9,7,8,5,3,3,8]	[9,7,5,9,7,8,5,3,8,3]
[7,9,3,7,8,7,4,1,9,0,9,8,8]	[7,9,3,7,8,7,4,1,9,8,0,8,9]
[8,4,3,7,1,3,8,0,9,7,9,9,3,2,4]	[8,4,3,7,1,3,8,0,9,7,9,9,3,4,2]
[7,1,2,2,0,2,1,7,5,1,7,4,1]	[7,1,2,2,0,2,1,7,5,4,1,1,7]
[1,1,1,7,0,4,0,8,5,1,6,6,2,1,9,6,4]	[1,1,1,7,0,4,0,8,5,1,6,6,2,4,1,6,9]
[0,8,1,0,2,2,9,7,5,6,4,6,3,7,9,7,4,9]	[0,8,1,0,2,2,9,7,5,6,4,6,3,7,9,7,9,4]
[7,0,6,0,8,5,3,9,4,1,5]	[7,0,6,0,8,5,3,9,4,5,1]
[1,5,5,4,9,8,3,8,5,2,2,2,7,0]	[1,5,5,4,9,8,3,8,5,2,2,7,0,2]
[4,6,3,6,3,3,4,4,3,9,7,2,5]	[4,6,3,6,3,3,4,4,3,9,7,5,2]
[9,0,2,4,7,6,5,7,1,3,3,3,8,5,1,0,8,7]	[9,0,2,4,7,6,5,7,1,3,3,3,8,5,1,7,0,8]
[3,5,0,8,0,4,1,1,3,5,9,3,4,1,5,0]	[3,5,0,8,0,4,1,1,3,5,9,3,4,5,0,1]
[3,5,6,5,9,9,0,7,6,3,7,6,1,5,0,6,5,0]	[3,5,6,5,9,9,0,7,6,3,7,6,1,5,5,0,0,6]
[1,2,2,6,9,1,0,4,2,7,4,0,3,2,8,0,3,7]	[1,2,2,6,9,1,0,4,2,7,4,0,3,2,8,0,7,3]
[0,3,4,9,2,7,4,2,5,2]	[0,3,4,9,2,7,4,5,2,2]
[4,3,8,6,0,8,9,2,2,3,1,8,3,4]	[4,3,8,6,0,8,9,2,2,3,1,8,4,3]
[2,4,5,1,7,5,7,1,6,9,8,1]	[2,4,5,1,7,5,7,1,8,1,6,9]
[3,3,7,9,8,6,7,0,4,8,4,8,1]	[3,3,7,9,8,6,7,0,4,8,8,1,4]
[8,5,2,1,9,9,6,0,6,4,9,9,0,8,9,3]	[8,5,2,1,9,9,6,0,6,4,9,9,0,9,3,8]
[4,8,9,6,7,7,3,7,1,2,2]	[4,8,9,6,7,7,3,7,2,1,2]
[5,0,9,0,4,0,1,3,7,4,1]	[5,0,9,0,4,0,1,4,1,3,7]
[3,0,3,2,1,7,5,6,5,4,2]	[3,0,3,2,1,7,6,2,4,5,5]
[1,7,2,4,1,6,5,7,8,5,9,2]	[1,7,2,4,1,6,5,7,8,9,2,5]
[3,6,4,7,9,7,2,2,1,6,3,0,2,1,5,6,5]	[3,6,4,7,9,7,2,2,1,6,3,0,2,1,6,5,5]
[0,3,4,6,6,0,2,5,8,9]	[0,3,4,6,6,0,2,5,9,8]
[0,6,0,8,3,7,8,2,1,0,5,8,5,5,0]	[0,6,0,8,3,7,8,2,1,0,8,0,5,5,5]
[3,8,2,3,0,7,7,7,6,9,1,1,9,0,8,9,8]	[3,8,2,3,0,7,7,7,6,9,1,1,9,0,9,8,8]
[0,3,7,0,6,9,2,1,7,7,9,7,6,2,7,1,5,8]	[0,3,7,0,6,9,2,1,7,7,9,7,6,2,7,1,8,5]
[4,5,6,5,6,8,4,8,8,3,8,7,5,2,4,5,0,5]	[4,5,6,5,6,8,4,8,8,3,8,7,5,2,4,5,5,0]
[3,2,7,2,1,3,4,9,4,1,9,5,7,4,1,2,2]	[3,2,7,2,1,3,4,9,4,1,9,5,7,4,2,1,2]
[6,2,0,2,2,9,7,4,3,5,6]	[6,2,0,2,2,9,7,4,3,6,5]
[4,0,3,1,2,7,7,9,8,1,0]	[4,0,3,1,2,7,8,0,1,7,9]
[6,0,1,0,2,5,1,9,7,1,3,1,2,0,6,8,7]	[6,0,1,0,2,5,1,9,7,1,3,1,2,0,7,6,8]
[9,2,4,4,5,9,1,2,8,9,6,0,6,4]	[9,2,4,4,5,9,1,2,8,9,6,4,0,6]
[9,4,5,4,6,6,3,9,9,5]	[9,4,5,4,6,6,5,3,9,9]
[1,3,0,9,9,1,3,4,5,8,5,7]	[1,3,0,9,9,1,3,4,5,8,7,5]
[3,8,9,5,5,3,8,6,0,3,3,6,1]	[3,8,9,5,5,3,8,6,0,3,6,1,3]
[7,0,5,1,1,0,3,0,0,4,5,4,2,4,9,9,9,4]	[7,0,5,1,1,0,3,0,0,4,5,4,2,9,4,4,9,9]
[8,1,6,3,9,3,3,4,6,1,5,6,1,7,2,2,9,2,8]	[8,1,6,3,9,3,3,4,6,1,5,6,1,7,2,2,9,8,2]
[2,4,7,8,6,3,7,7,2,3,7]	[2,4,7,8,6,3,7,7,2,7,3]
[5,3,7,6,8,1,3,6,4,0,3,5]	[5,3,7,6,8,1,3,6,4,0,5,3]
[5,0,9,9,8,0,2,4,9,0,1,2,0,0,6,3,9,0]	[5,0,9,9,8,0,2,4,9,0,1,2,0,0,6,9,0,3]
[3,8,7,3,1,0,0,5,0,3,1,8,0,1,7,9,1,0]	[3,8,7,3,1,0,0,5,0,3,1,8,0,1,9,0,1,7]
[5,9,4,8,4,6,9,2,9,0,3,0,3]	[5,9,4,8,4,6,9,2,9,0,3,3,0]
[7,9,4,9,9,1,9,4,2,0,6,5,9]	[7,9,4,9,9,1,9,4,2,0,6,9,5]
[6,1,1,4,3,7,2,7,3,3,9,2,4,4,4]	[6,1,1,4,3,7,2,7,3,3,9,4,2,4,4]
[9,3,8,3,2,9,5,4,3,9,4,9,5,5,7,3,9,0,7]	[9,3,8,3,2,9,5,4,3,9,4,9,5,5,7,3,9,7,0]
[7,2,9,0,5,0,4,1,7,9,3,6]	[7,2,9,0,5,0,4,1,7,9,6,3]
[1,2,5,3,9,1,8,8,7,0,5,2]	[1,2,5,3,9,1,8,8,7,2,0,5]
[9,1,9,6,3,6,8,4,6,6,7,2,7,4,1,0,0]	[9,1,9,6,3,6,8,4,6,6,7,4,0,0,1,2,7]
[4,4,3,7,3,4,7,2,1,7,9,5,6,8,9,5]	[4,4,3,7,3,4,7,2,1,7,9,5,6,9,5,8]
[2,1,5,9,9,1,6,2,1,0,5,3,2,1,9]	[2,1,5,9,9,1,6,2,1,0,5,3,2,9,1]
[6,8,2,0,6,4,3,3,6,9,0,4,8,5,1,2,9]	[6,8,2,0,6,4,3,3,6,9,0,4,8,5,1,9,2]
[3,8,0,9,2,3,1,8,7,4,1,6,3,8,5,5,0]	[3,8,0,9,2,3,1,8,7,4,1,6,5,0,3,5,8]
[2,6,4,8,5,6,2,5,2,6,9]	[2,6,4,8,5,6,2,5,2,9,6]
[3,3,1,5,2,6,9,4,4,6,0]	[3,3,1,5,2,6,9,4,6,0,4]
[4,3,7,9,0,0,2,2,6,9,0,3,5,5,8,7,1]	[4,3,7,9,0,0,2,2,6,9,0,3,5,7,1,5,8]
[0,6,0,4,1,3,0,2,9,6,0,9,3,5,4,3,6]	[0,6,0,4,1,3,0,2,9,6,0,9,3,5,4,6,3]
[3,1,9,1,0,9,4,5,6,2,5,9,1,7]	[3,1,9,1,0,9,4,5,6,2,5,9,7,1]
[4,1,1,9,1,3,8,7,4,9,3,1,3,8,7,9,3]	[4,1,1,9,1,3,8,7,4,9,3,1,3,8,9,3,7]
[8,4,0,0,8,6,8,2,3,8,5,0,5,9,2,6,8,5]	[8,4,0,0,8,6,8,2,3,8,5,0,5,9,2,8,5,6]
[8,3,6,7,8,7,2,6,6,2,9,7]	[8,3,6,7,8,7,2,6,6,7,2,9]
[3,7,2,3,5,1,7,8,9,4]	[3,7,2,3,5,1,7,9,4,8]
[16,27,25,23,25,16,12,9,1,2,7,20,19,23,16,0,6,22,16,11,8,27,9,2,20,2,13,7,25,29,12,12,18,29,27,13,16,1,22,9,3,21,29,14,7,8,14,5,0,23,16,1,20]	[16,27,25,23,25,16,12,9,1,2,7,20,19,23,16,0,6,22,16,11,8,27,9,2,20,2,13,7,25,29,12,12,18,29,27,13,16,1,22,9,3,21,29,14,7,8,14,5,0,23,16,20,1]
[3,2,20,16,1,15,15,14,27,26,5,16,9,13,17,24,15,12,15,14,27,14,14,3,20,7,18,6,8,8,24,3,11,14,19,12,0,26,18,19,22,16,6,24,29,15,10,14,28,17,21,17,2,27,12,22]	[3,2,20,16,1,15,15,14,27,26,5,16,9,13,17,24,15,12,15,14,27,14,14,3,20,7,18,6,8,8,24,3,11,14,19,12,0,26,18,19,22,16,6,24,29,15,10,14,28,17,21,17,2,27,22,12]
[1,20,26,1,15,29,4,29,10,9,21,7,27,11,21,5,9,7,27,16,17,3,6,5,16,23,29,14,28,21,2,29,3,29,0,18,28,5,10,9,6,23,8,25,26,21,1,5,29,28,14,8,1,20,13,10]	[1,20,26,1,15,29,4,29,10,9,21,7,27,11,21,5,9,7,27,16,17,3,6,5,16,23,29,14,28,21,2,29,3,29,0,18,28,5,10,9,6,23,8,25,26,21,1,5,29,28,14,8,10,1,13,20]
[4,24,4,17,26,3,21,17,25,9,16,22,11,17,28,5,17,24,1,8,25,29,7,15,13,8,8,3,21,18,9,26,4,13,13,23,8,26,10,4,28,18,18,9,27,17,6,14,3,0,23,20,29,22]	[4,24,4,17,26,3,21,17,25,9,16,22,11,17,28,5,17,24,1,8,25,29,7,15,13,8,8,3,21,18,9,26,4,13,13,23,8,26,10,4,28,18,18,9,27,17,6,14,3,0,23,22,20,29]
[4,0,5,29,14,16,9,2,12,14,7,27,15,4,8,11,2,18,29,3,16,8,10,22,11,10,15,1,1,0,28,5,0,26,4,6,12,5,8,16,12,8,14,27,12,14,0,6,2,29,9,10,8,11,3]	[4,0,5,29,14,16,9,2,12,14,7,27,15,4,8,11,2,18,29,3,16,8,10,22,11,10,15,1,1,0,28,5,0,26,4,6,12,5,8,16,12,8,14,27,12,14,0,6,2,29,9,10,11,3,8]
[21,10,13,14,10,3,19,11,29,16,9,3,13,18,20,25,26,26,14,0,10,14,6,12,6,7,15,6,19,18,17,2,28,22,9,9,26,20,12,17,6,21,13,12,1,25,29,19,21,14,19]	[21,10,13,14,10,3,19,11,29,16,9,3,13,18,20,25,26,26,14,0,10,14,6,12,6,7,15,6,19,18,17,2,28,22,9,9,26,20,12,17,6,21,13,12,1,25,29,19,21,19,14]
[20,17,5,18,17,20,24,28,0,4,22,29,26,1,0,14,22,12,2,20,25,15,2,19,10,2,8,23,8,20,24,20,29,21,9,16,12,25,14,4,29,29,3,26,0,25,10,22,29,4,13]	[20,17,5,18,17,20,24,28,0,4,22,29,26,1,0,14,22,12,2,20,25,15,2,19,10,2,8,23,8,20,24,20,29,21,9,16,12,25,14,4,29,29,3,26,0,25,10,22,29,13,4]
[11,7,14,13,1,14,6,9,4,22,22,26,14,1,12,18,18,19,22,18,18,18,6,18,13,8,3,13,13,8,0,24,7,6,8,9,20,6,18,17,29,10,13,13,3,17,23,22,6,15,2,16,25,8,27]	[11,7,14,13,1,14,6,9,4,22,22,26,14,1,12,18,18,19,22,18,18,18,6,18,13,8,3,13,13,8,0,24,7,6,8,9,20,6,18,17,29,10,13,13,3,17,23,22,6,15,2,16,25,27,8]
[16,0,14,21,0,14,8,7,20,8,16,2,14,27,19,13,29,2,18,3,20,11,17,18,19,11,5,14,19,2,15,27,24,29,19,24,5,19,23,25,27,10,28,11,29,9,17,28,12,5,23,24,9,10,12,20,21,9,26]	[16,0,14,21,0,14,8,7,20,8,16,2,14,27,19,13,29,2,18,3,20,11,17,18,19,11,5,14,19,2,15,27,24,29,19,24,5,19,23,25,27,10,28,11,29,9,17,28,12,5,23,24,9,10,12,20,21,26,9]
[11,12,0,27,3,11,21,9,0,15,26,27,17,24,0,16,4,17,14,8,15,8,2,16,10,6,6,24,16,2,18,19,6,10,17,10,21,0,11,13,7,7,2,16,24,25,2,20,12,9,20,19]	[11,12,0,27,3,11,21,9,0,15,26,27,17,24,0,16,4,17,14,8,15,8,2,16,10,6,6,24,16,2,18,19,6,10,17,10,21,0,11,13,7,7,2,16,24,25,2,20,12,19,9,20]
[14,5,11,20,3,27,28,28,16,10,4,26,27,6,10,19,17,15,19,17,18,5,3,13,8,23,17,9,13,7,18,27,4,21,9,0,19,8,28,5,18,24,23,7,1,3,18,10,19,7,19,29,13,22,4,13,7,21,22]	[14,5,11,20,3,27,28,28,16,10,4,26,27,6,10,19,17,15,19,17,18,5,3,13,8,23,17,9,13,7,18,27,4,21,9,0,19,8,28,5,18,24,23,7,1,3,18,10,19,7,19,29,13,22,4,13,7,22,21]
[20,2,1,17,15,11,17,4,11,7,1,21,1,17,20,24,20,8,5,1,16,16,22,21,9,26,4,8,10,18,21,0,12,22,9,27,25,26,24,6,3,17,19,27,4,9,21,17,10,26,10,18]	[20,2,1,17,15,11,17,4,11,7,1,21,1,17,20,24,20,8,5,1,16,16,22,21,9,26,4,8,10,18,21,0,12,22,9,27,25,26,24,6,3,17,19,27,4,9,21,17,10,26,18,10]
[3,9,14,21,5,14,1,15,5,24,19,28,3,8,15,22,2,22,17,20,3,14,16,13,6,3,23,24,14,3,29,17,12,5,8,9,20,2,24,17,26,5,7,21,13,23,13,8,15,1,20,18,7,6,23]	[3,9,14,21,5,14,1,15,5,24,19,28,3,8,15,22,2,22,17,20,3,14,16,13,6,3,23,24,14,3,29,17,12,5,8,9,20,2,24,17,26,5,7,21,13,23,13,8,15,1,20,18,7,23,6]
[10,8,0,24,11,21,3,15,19,3,24,1,5,10,18,23,15,26,15,29,19,20,7,26,13,27,6,21,25,0,26,5,0,18,21,12,2,16,19,21,20,14,22,17,24,10,3,2,28,10,23,17,0,0,13]	[10,8,0,24,11,21,3,15,19,3,24,1,5,10,18,23,15,26,15,29,19,20,7,26,13,27,6,21,25,0,26,5,0,18,21,12,2,16,19,21,20,14,22,17,24,10,3,2,28,10,23,17,0,13,0]
[19,12,27,14,12,15,12,4,4,3,8,6,20,28,19,2,12,3,11,28,13,14,22,12,24,15,21,17,15,27,1,26,9,28,11,13,13,23,17,9,18,26,7,0,24,18,24,28,21,6,18,5,12,11]	[19,12,27,14,12,15,12,4,4,3,8,6,20,28,19,2,12,3,11,28,13,14,22,12,24,15,21,17,15,27,1,26,9,28,11,13,13,23,17,9,18,26,7,0,24,18,24,28,21,6,18,11,5,12]
[29,26,0,16,4,19,9,0,28,29,3,11,4,18,29,6,7,17,13,7,11,2,2,1,15,0,19,20,4,0,21,3,27,14,11,1,3,20,23,2,11,27,5,16,15,4,22,22,21,27,22,24,21,16,25,7,8,15,19]	[29,26,0,16,4,19,9,0,28,29,3,11,4,18,29,6,7,17,13,7,11,2,2,1,15,0,19,20,4,0,21,3,27,14,11,1,3,20,23,2,11,27,5,16,15,4,22,22,21,27,22,24,21,16,25,7,8,19,15]
[7,3,16,4,17,19,27,12,2,21,6,13,10,12,21,25,16,5,10,0,3,24,16,16,10,12,15,18,19,5,0,26,0,8,23,17,28,12,21,0,25,28,5,5,10,27,23,18,2,3,10,27]	[7,3,16,4,17,19,27,12,2,21,6,13,10,12,21,25,16,5,10,0,3,24,16,16,10,12,15,18,19,5,0,26,0,8,23,17,28,12,21,0,25,28,5,5,10,27,23,18,2,3,27,10]
[27,6,29,1,21,9,20,18,9,8,18,10,23,27,0,6,19,22,1,17,27,29,27,16,22,7,11,25,18,8,14,15,6,5,16,28,14,28,8,23,28,27,25,22,24,25,20,5,17,13,22,7,12,11,23,4,19]	[27,6,29,1,21,9,20,18,9,8,18,10,23,27,0,6,19,22,1,17,27,29,27,16,22,7,11,25,18,8,14,15,6,5,16,28,14,28,8,23,28,27,25,22,24,25,20,5,17,13,22,7,12,11,23,19,4]
[21,29,5,27,14,11,2,22,1,16,12,10,2,2,29,27,24,23,15,6,21,24,20,13,1,2,17,17,29,28,21,20,27,26,10,11,0,12,25,1,29,7,11,23,1,2,20,26,18,27,24,9,22,14]	[21,29,5,27,14,11,2,22,1,16,12,10,2,2,29,27,24,23,15,6,21,24,20,13,1,2,17,17,29,28,21,20,27,26,10,11,0,12,25,1,29,7,11,23,1,2,20,26,18,27,24,14,9,22]
[15,9,1,2,8,29,16,20,26,4,0,29,4,5,24,6,26,23,9,19,25,12,1,13,0,29,29,1,13,14,15,28,15,17,23,23,8,9,5,5,13,28,26,10,3,13,16,21,28,17,10,15,21,11]	[15,9,1,2,8,29,16,20,26,4,0,29,4,5,24,6,26,23,9,19,25,12,1,13,0,29,29,1,13,14,15,28,15,17,23,23,8,9,5,5,13,28,26,10,3,13,16,21,28,17,10,21,11,15]
[13,10,20,14,15,4,22,14,19,9,29,4,9,8,1,6,13,29,3,23,24,16,1,15,6,11,17,22,2,29,12,8,1,2,14,17,28,6,23,17,7,22,13,17,22,15,23,27,6,18]	[13,10,20,14,15,4,22,14,19,9,29,4,9,8,1,6,13,29,3,23,24,16,1,15,6,11,17,22,2,29,12,8,1,2,14,17,28,6,23,17,7,22,13,17,22,15,23,27,18,6]
[23,26,14,0,3,25,18,25,20,9,29,28,10,2,4,19,0,11,12,10,10,26,23,19,10,8,13,8,7,23,21,0,20,5,0,23,1,18,10,21,27,9,11,0,3,15,19,4,18,24,6]	[23,26,14,0,3,25,18,25,20,9,29,28,10,2,4,19,0,11,12,10,10,26,23,19,10,8,13,8,7,23,21,0,20,5,0,23,1,18,10,21,27,9,11,0,3,15,19,4,24,6,18]
[12,29,10,23,0,23,23,7,9,14,29,29,11,29,14,12,10,16,25,29,25,6,21,21,14,3,17,2,27,23,23,9,22,4,24,14,19,9,13,28,23,12,19,5,4,3,9,14,19,5,5,7,3,19,20,17,22,7,12]	[12,29,10,23,0,23,23,7,9,14,29,29,11,29,14,12,10,16,25,29,25,6,21,21,14,3,17,2,27,23,23,9,22,4,24,14,19,9,13,28,23,12,19,5,4,3,9,14,19,5,5,7,3,19,20,17,22,12,7]
[0,5,20,14,1,7,29,13,16,12,11,2,25,23,29,21,18,8,27,0,5,2,7,9,21,19,26,13,26,8,24,26,6,7,2,7,14,1,20,0,6,24,24,23,17,23,14,27,2,11,27,29,5,26,8,19,15,5,2]	[0,5,20,14,1,7,29,13,16,12,11,2,25,23,29,21,18,8,27,0,5,2,7,9,21,19,26,13,26,8,24,26,6,7,2,7,14,1,20,0,6,24,24,23,17,23,14,27,2,11,27,29,5,26,15,2,5,8,19]
[5,19,29,11,26,2,11,10,25,23,2,1,9,27,16,18,12,0,16,14,3,13,6,9,10,14,28,25,11,22,29,17,3,28,20,29,22,23,1,18,17,4,11,26,23,28,15,5,20,1,12]	[5,19,29,11,26,2,11,10,25,23,2,1,9,27,16,18,12,0,16,14,3,13,6,9,10,14,28,25,11,22,29,17,3,28,20,29,22,23,1,18,17,4,11,26,23,28,15,5,20,12,1]
[14,18,25,16,2,15,12,6,29,11,23,3,1,5,2,16,29,4,4,16,0,7,4,23,27,19,20,10,12,2,26,19,20,13,5,15,28,17,21,27,20,6,0,14,11,3,0,2,29,26,10,29,3,15,14,23]	[14,18,25,16,2,15,12,6,29,11,23,3,1,5,2,16,29,4,4,16,0,7,4,23,27,19,20,10,12,2,26,19,20,13,5,15,28,17,21,27,20,6,0,14,11,3,0,2,29,26,10,29,3,15,23,14]
[4,3,1,29,21,20,19,4,25,26,2,5,9,21,17,7,14,1,11,9,1,13,8,27,24,29,23,1,13,8,27,9,3,28,8,24,10,20,28,6,8,22,3,18,5,20,25,19,22,6,28,15,12,28,13,6]	[4,3,1,29,21,20,19,4,25,26,2,5,9,21,17,7,14,1,11,9,1,13,8,27,24,29,23,1,13,8,27,9,3,28,8,24,10,20,28,6,8,22,3,18,5,20,25,19,22,6,28,15,13,6,12,28]
