""	0	
"  -110w00636796"	-110	
"   +10432359437"	2147483647	
" +11e409192336"	11	
"  -10837645490w"	-2147483648	
"        -1026u6093104"	-1026	
"+109110636c41"	109110636	
"    +1010920l5556"	1010920	
"    f11294296052"	0	
"    -10326662300y"	-2147483648	
"       -117p87455356"	-117	
"       +1160253b3190"	1160253	
"   -z11439972231"	0	
"  -11485012091m"	-2147483648	
"         +109z88136889"	109	
"        -10r053562298"	-10	
"         -1073659550i4"	-1073659550	
"         +102f23041859"	102	
"     -11703z720034"	-11703	
"  -1209066840l7"	-1209066840	
"        +10903355446o"	2147483647	
" +11845z814706"	11845	
"    +1146905820n1"	1146905820	
"    12o116291616"	12	
"      +c11702957727"	0	
"  1092173165x9"	1092173165	
"+1017956714d2"	1017956714	
"         +1092876c2547"	1092876	
"      -11t093144830"	-11	
"   -10r388544953"	-10	
"      +1h1680650097"	1	
"    -104e99309319"	-104	
"    -11164d794209"	-11164	
"        -10768826838"	-2147483648	
"        -107554754t74"	-107554754	
"    -11416n247691"	-11416	
"         -1009154z8472"	-1009154	
"  +1115312o5558"	1115312	
"    10557266014"	2147483647	
"  -11839437777v"	-2147483648	
"   +1119461y0512"	1119461	
"         -10988856719a"	-2147483648	
"         +118a97136350"	118	
"    -1170t6989724"	-1170	
"-108821144s76"	-108821144	
"115s99273272"	115	
" +1e0102446961"	1	
"-1x0343790657"	-1	
"  -10519048889"	-2147483648	
"        11448c078516"	11448	
" 11160959570"	2147483647	
"         -10292248567"	-2147483648	
"   +1161538l1341"	1161538	
"      +1043411p6062"	1043411	
"   11448296185l"	2147483647	
"       -1179m4446460"	-1179	
"  +10k895093300"	10	
"    -10916249687"	-2147483648	
"  -11e496126461"	-11	
" 1192820738r2"	1192820738	
"     -112190e41502"	-112190	
" +1d0398440187"	1	
"     +10375585184"	2147483647	
"     -11807z978953"	-11807	
"12029435h754"	12029435	
"  -118641l08598"	-118641	
"         +105909b13497"	105909	
"       -11h043362719"	-11	
"  1175775a4718"	1175775	
"        +1003508d0457"	1003508	
"    11455m188182"	11455	
"      +1067824381o7"	1067824381	
"  10y251147117"	10	
"11326208f093"	11326208	
"      +115j50369229"	115	
"      -121190192g01"	-121190192	
"        107096w38094"	107096	
"       j10587321668"	0	
"    +11638080f881"	11638080	
"     +10956764380h"	2147483647	
"      11136468798"	2147483647	
"+1168848995o5"	1168848995	
"         +1p1702545192"	1	
"      +11t754512256"	11	
"       1211a2141188"	1211	
"         q10790839114"	0	
"   -1135933v5888"	-1135933	
"  +1208f2886000"	1208	
"     10631u873377"	10631	
"  1a0551423912"	1	
"    -109303k89175"	-109303	
"    1009w1194819"	1009	
"12098820265"	2147483647	
"    114246044u16"	114246044	
"        11876562876n"	2147483647	
" +11m162118143"	11	
"        -109111777b25"	-109111777	
" 102o30052923"	102	
"   +g10108294558"	0	
"       +102n54803524"	102	
"       +1191x4698009"	1191	
"  -10965a538994"	-10965	
" -105275h38560"	-105275	
"       +115243963s07"	115243963	
"  +120462u16839"	120462	
"     1203376482n3"	1203376482	
"     +11665u276809"	11665	
"   t10700238627"	0	
"  +103517987y92"	103517987	
" 10o988094015"	10	
"   11q901973639"	11	
"      -111q44602683"	-111	
"     -o10457211910"	0	
"    111005030m94"	111005030	
"      10114463838o"	2147483647	
"      118926e27545"	118926	
"  -110h74831349"	-110	
"     103l51131811"	103	
"     +113631604q23"	113631604	
"       +10109278j541"	10109278	
"      1189919q2373"	1189919	
" 10165938s281"	10165938	
"    -12023644i162"	-12023644	
"        1187f8992782"	1187	
"+11950294e620"	11950294	
"        -a11499474702"	0	
"     j10327042977"	0	
"        -1a1832700593"	-1	
"  +11v361274385"	11	
"        101z96734746"	101	
"1107648209r7"	1107648209	
" 1015x9385590"	1015	
"+107v22721308"	107	
"+114174868r48"	114174868	
"       +1200r1204541"	1200	
"        1057582544k5"	1057582544	
"      -10325234n677"	-10325234	
" -11516p726297"	-11516	
"      11270946179v"	2147483647	
"         +10i961692656"	10	
"         -10249h544284"	-10249	
"   +1203e4340453"	1203	
"    -102q11089891"	-102	
"         1037g8359313"	1037	
"-1126297758d8"	-1126297758	
"    +107853e73519"	107853	
"         +1068076646d2"	1068076646	
"       +12119u909392"	12119	
"       -1096838668k2"	-1096838668	
"   +10956k900650"	10956	
"  1013085i0638"	1013085	
"    -103766y88277"	-103766	
"  11508771917"	2147483647	
"      1015427091w6"	1015427091	
" +11068f035629"	11068	
"         1207s3023730"	1207	
" 11s477002778"	11	
"   102k29721061"	102	
"     +n10395667745"	0	
"   -1009621e6539"	-1009621	
"  -10985561380"	-2147483648	
"    11363m929671"	11363	
"        +1114054094z0"	1114054094	
"  11496203n041"	11496203	
"        +11012j568793"	11012	
"   -1h1904414439"	-1	
"  10p321128829"	10	
"    10859443w669"	10859443	
"     +10339238438"	2147483647	
"  +11190w154369"	11190	
"-11608628116n"	-2147483648	
"   v10999854133"	0	
"      +115z78879909"	115	
"       +10197449831"	2147483647	
"         120367u52755"	120367	
"  -105q93840487"	-105	
" 103594912o38"	103594912	
" -114g06255936"	-114	
"1s1461951329"	1	
"w10734368512"	0	
"      +105831204w98"	105831204	
"        -115v64079029"	-115	
"    -1p1937558641"	-1	
"  +1095248d5337"	1095248	
"        -1160275318r4"	-1160275318	
"        -114305254j04"	-114305254	
"      -107919h36852"	-107919	
"       +120833753f00"	120833753	
" +11h243638674"	11	
"     -10k562742715"	-10	
"        -1x0207355314"	-1	
"     +1l1481276490"	1	
"  b10907616711"	0	
" t10983773677"	0	
"        -1204689m7912"	-1204689	
"         a10374015362"	0	
"       10m145108497"	10	
"   -10l482406416"	-10	
"+10795247f686"	10795247	
"     +11300410144p"	2147483647	
"       118283b24232"	118283	
"         m10116559896"	0	
"    10t645245966"	10	
"     +11642251647e"	2147483647	
"         109902479v87"	109902479	
"        +11042d179764"	11042	
" +1039378071u2"	1039378071	
"      1x0906410323"	1	
"    -1057523f1783"	-1057523	
"  -1101659036s1"	-1101659036	
"  +10836589u804"	10836589	
"    +104f60947063"	104	
"        11d149058160"	11	
"      +1209428289r2"	1209428289	
"      1a1817651795"	1	
"1192015820h2"	1192015820	
"         +11727323561g"	2147483647	
" +11t906362147"	11	
"     1051i2479459"	1051	
"       -10q802150169"	-10	
"     -120q09029039"	-120	
"   -1118250626e1"	-1118250626	
"+1n1422251903"	1	
"   +h11668000249"	0	
"       +10222731170f"	2147483647	
"       -r11566382166"	0	
"    1004x3441833"	1004	
"    s10581947599"	0	
" 1021988a8312"	1021988	
"   +10355453093"	2147483647	
"  +10863r844181"	10863	
" 12071600722a"	2147483647	
"        10509217844"	2147483647	
"      10322466363h"	2147483647	
" -1047819w9669"	-1047819	
"     111g44828159"	111	
"         10910r797124"	10910	
"         11255b748110"	11255	
"   1144y3710450"	1144	
"    -103b36597905"	-103	
" +114156j27530"	114156	
"      +11407157712f"	2147483647	
"         117734814t19"	117734814	
"   +1034y3613467"	1034	
"        101l54329950"	101	
"1160a5746510"	1160	
" +1121972e5992"	1121972	
"      +10343t291211"	10343	
"   -11617259058a"	-2147483648	
"        +1070091761h2"	1070091761	
" +115920187i56"	115920187	
"1u1072062834"	1	
" -11107654620b"	-2147483648	
"      104509i19182"	104509	
"         10s648939335"	10	
"  +105t48811690"	105	
"        1199g7805318"	1199	
"+1073r4518834"	1073	
"  +10776168930"	2147483647	
"11m117820949"	11	
"        i11789665245"	0	
"       11616q600098"	11616	
"     +118133384p35"	118133384	
"   -114z71843735"	-114	
"         -117w72885429"	-117	
"    116s69939248"	116	
"   -1116309j3217"	-1116309	
"       -117867291z65"	-117867291	
"       +111i36471278"	111	
"      -12h061471777"	-12	
"       120k47821201"	120	
"       -1l0188757038"	-1	
"+z11388528019"	0	
"         +11179510o855"	11179510	
"  -1090v9461205"	-1090	
"+104019w45046"	104019	
"      +11958688606x"	2147483647	
" 119834q53825"	119834	
"  +10458894727"	2147483647	
"   108545l15756"	108545	
"1159j8513345"	1159	
"    +11321291587"	2147483647	
"   -11355v710627"	-11355	
"         +108095q59350"	108095	
" +111925b12711"	111925	
"    1191030870z1"	1191030870	
"        -10750664670z"	-2147483648	
"   +105656302p94"	105656302	
"        -108c83370494"	-108	
"  +11599632b437"	11599632	
"+12036945r687"	12036945	
"1x1743994426"	1	
"104q09656353"	104	
"         -10587006894k"	-2147483648	
"     +10361266y428"	10361266	
"    1g2122729226"	1	
"  +11807391958l"	2147483647	
"        -g11842052911"	0	
"  11h521140538"	11	
"  -1l1047970912"	-1	
"        +1043698663p3"	1043698663	
" -113573524w14"	-113573524	
"   11t253735959"	11	
"     +1178743o1681"	1178743	
"  +113505w76884"	113505	
"         -10621720z398"	-10621720	
"  +11988447375z"	2147483647	
" 1179441277a1"	1179441277	
" +10916j208428"	10916	
"    106y82126057"	106	
"       1166563s4075"	1166563	
"    -1029333395r3"	-1029333395	
"  +107280788r35"	107280788	
"      +1s1872428914"	1	
"    +10a652023067"	10	
"     12128949663u"	2147483647	
"  1012106897w9"	1012106897	
"   +10828m784204"	10828	
"      -1124h6450437"	-1124	
"-1167o5927873"	-1167	
"  +10008489b138"	10008489	
"    +1s0046713650"	1	
"-11500733327q"	-2147483648	
" 1006371135u4"	1006371135	
"     -10558251557d"	-2147483648	
"      11n056380363"	11	
"  g10600968151"	0	
"      +111204963l27"	111204963	
"    +10l700725397"	10	
"      -1u0813538189"	-1	
"   -10931153009"	-2147483648	
"   -10007b585106"	-10007	
"     -1v0810300130"	-1	
"    10548z403396"	10548	
"         +105072498w56"	105072498	
"  +107732x14921"	107732	
"    -117689k33993"	-117689	
"    10158u840791"	10158	
"       -1007013l2230"	-1007013	
"       101076484h75"	101076484	
" 103e42624629"	103	
"-1049m9793720"	-1049	
"  1124s1195395"	1124	
"      +1120808190b2"	1120808190	
"    +113294r51152"	113294	
"+11953e248032"	11953	
"         -101g16239075"	-101	
"       11674g080709"	11674	
"  10h607034491"	10	
"         1004713120c2"	1004713120	
"110740v11179"	110740	
"      10j845008977"	10	
"      -11889l447864"	-11889	
"   1046340c7459"	1046340	
" +u11364925776"	0	
"        -1186849915y4"	-1186849915	
" 11849x501213"	11849	
"   +11029060236"	2147483647	
"        -10719264407"	-2147483648	
"     +10245895i559"	10245895	
"        +1214113j2459"	1214113	
"      1046608196n0"	1046608196	
"        +10025l127860"	10025	
" 1036747387z4"	1036747387	
"      -c10880663576"	0	
"     -10v528757519"	-10	
"+120316762m14"	120316762	
"         10211738054z"	2147483647	
"   -115821901x63"	-115821901	
"   -10974j766475"	-10974	
"        -11u646511097"	-11	
"   11558925741l"	2147483647	
"  +10033f553655"	10033	
"   +z10185185225"	0	
"       -11565i001668"	-11565	
"         1t0938413933"	1	
"     1015507407f8"	1015507407	
"  +1142803h0276"	1142803	
"   1063761e0065"	1063761	
"      -1131868y4937"	-1131868	
"         +10760775515x"	2147483647	
"   -1p0941001236"	-1	
"        +1156165265c8"	1156165265	
"        +1214717441q3"	1214717441	
"   -1135446294g5"	-1135446294	
"1r0771582574"	1	
"       11308u360591"	11308	
"       +10908922636"	2147483647	
"-1132r1877907"	-1132	
"        1212s8761394"	1212	
"  -11873577990"	-2147483648	
" +112599744t43"	112599744	
"         -11799i771231"	-11799	
"     10273511225"	2147483647	
"    -1194031485p3"	-1194031485	
"+11y806181319"	11	
" -11289790r458"	-11289790	
"     +1q0334125953"	1	
"       -1107901x4448"	-1107901	
"        +1075918j4136"	1075918	
"       -1182963174r9"	-1182963174	
"        +110404425l47"	110404425	
"   -1c0455082272"	-1	
"        117146138w62"	117146138	
"  -113457y97520"	-113457	
"        +118y77192463"	118	
"   +10616278506z"	2147483647	
"   1137893k3293"	1137893	
"         112r77055475"	112	
"        -100591c49357"	-100591	
" 107d86724090"	107	
"      +110995y53160"	110995	
"        +s10705095178"	0	
"    +1183684255t3"	1183684255	
"         -1063815j3909"	-1063815	
"        -1j1781840738"	-1	
"     11951930816"	2147483647	
"     -10929395119t"	-2147483648	
"        110960x81478"	110960	
"     12134f678718"	12134	
"        112l47357511"	112	
"        11505309c069"	11505309	
"         11987a023055"	11987	
" -12066887674"	-2147483648	
"        102099j49931"	102099	
"  +116764f43319"	116764	
"      104008495k75"	104008495	
"     +1119746k7434"	1119746	
"      10585i652976"	10585	
"         109200t66416"	109200	
"-10098v696486"	-10098	
"        +10f894521327"	10	
"  -1h1647395173"	-1	
" 1188646s6026"	1188646	
"        +10223n814749"	10223	
"        10994i271513"	10994	
"    -f11009916556"	0	
"  +11955835890n"	2147483647	
"         1189w4351157"	1189	
"        11580712869"	2147483647	
"     +g10469123712"	0	
"-1209169652h3"	-1209169652	
"   +1u0664233714"	1	
"   1042385l6220"	1042385	
"    -1k0898777442"	-1	
"         +s12033059874"	0	
"       1191273249g0"	1191273249	
"        11004497f870"	11004497	
" 11627047919y"	2147483647	
"      +p10527856143"	0	
"   -1u0050427992"	-1	
"   +11478s322064"	11478	
"     1122m6780787"	1122	
"       -106a47060629"	-106	
"  10i651818934"	10	
"      +1l0588447480"	1	
"        119218497w54"	119218497	
"      107173b46396"	107173	
"  -10525679a539"	-10525679	
"      -i10004108421"	0	
"      11707p670542"	11707	
"+112f35307631"	112	
"  112593v10832"	112593	
"        +b11930791964"	0	
"     10211049457"	2147483647	
"     +1068266817p4"	1068266817	
"  115068l40079"	115068	
"      -109530x21019"	-109530	
"+11o015986636"	11	
"     r10689083699"	0	
"  -10202033171y"	-2147483648	
"  -1185r5394474"	-1185	
"     -103974e20032"	-103974	
"104432b96096"	104432	
"  1172414274n2"	1172414274	
"         +1151248f9672"	1151248	
"         +10k813856891"	10	
"     -1h0951985625"	-1	
"     -113721r45795"	-113721	
" +y10963114358"	0	
"  -1006266k8143"	-1006266	
"         +11724279125"	2147483647	
"      -100884c78179"	-100884	
"      -100819319j61"	-100819319	
"       -10706470282z"	-2147483648	
"       +107s37462451"	107	
"     +n10592053943"	0	
" +1026480z4468"	1026480	
"      1n0368433363"	1	
"   1116202u9397"	1116202	
"         10337d776934"	10337	
"  -1v0624555595"	-1	
"  -1167934817c7"	-1167934817	
"         +11600980770"	2147483647	
"  +1183876k7606"	1183876	
"    -11372654102"	-2147483648	
"    +102k37401919"	102	
"     +10133288p461"	10133288	
"     -11156162056"	-2147483648	
"         +1091x0517790"	1091	
"     1080257k2814"	1080257	
"        -11k675600886"	-11	
"         -113730648j27"	-113730648	
"+v10601451217"	0	
"+1116747669d9"	1116747669	
"      -10452q747860"	-10452	
"1f0905101718"	1	
"   -1110e5264038"	-1110	
"       119261t72877"	119261	
"-104128z99308"	-104128	
"         +1105s1163201"	1105	
"       -1151334957f2"	-1151334957	
"        100046n70427"	100046	
"   1012h2119773"	1012	
"      10f309399488"	10	
"   -1l1061089094"	-1	
"11361502f094"	11361502	
"   -11c998324703"	-11	
"      -d10383716161"	0	
" 10826224o481"	10826224	
" +1166988s4879"	1166988	
"        -10111520169"	-2147483648	
"     11507075645g"	2147483647	
"     -11419701x596"	-11419701	
"        1044837112o8"	1044837112	
"        +1156j7137410"	1156	
"    1058702u9069"	1058702	
"         +1b1627333830"	1	
"      +110992o94521"	110992	
"     f10260261190"	0	
"     10197220392"	2147483647	
" -1161004500p2"	-1161004500	
"  10725785g100"	10725785	
"      +101f34092220"	101	
"+11922q921431"	11922	
"   100752930o11"	100752930	
"       +11005112965"	2147483647	
"  +11d106743554"	11	
"   +m11311626230"	0	
"     +110535k71196"	110535	
"    111260980h82"	111260980	
" +10b937200921"	10	
" +1085918963z7"	1085918963	
" 1042472646j0"	1042472646	
"        10203s126533"	10203	
"+11703b564215"	11703	
" w11284654915"	0	
"+121137y67808"	121137	
"     -1119a7501098"	-1119	
"     10307896749r"	2147483647	
"    1024020c3982"	1024020	
" -10064r953177"	-10064	
"  1056f4865238"	1056	
"         +11323152700"	2147483647	
"        r10539010729"	0	
"         +116u25801665"	116	
"        +1147838h1887"	1147838	
"    -113637761l10"	-113637761	
"     -11316246d765"	-11316246	
"         -1120515078t4"	-1120515078	
"    +100411685h23"	100411685	
"         10411049666"	2147483647	
"      +11048g332684"	11048	
"       107l54354566"	107	
"     -q11741631227"	0	
"     +x11007071063"	0	
"     -1135q6756331"	-1135	
"         -117908x19784"	-117908	
" l11806127314"	0	
"    w10893044642"	0	
"      -1a0780067000"	-1	
"        10o698360173"	10	
"  105982921e15"	105982921	
"   -1209125u6102"	-1209125	
" -11282q034964"	-11282	
"         +12090895297"	2147483647	
" 11029u977706"	11029	
"   11452375767"	2147483647	
"       +110965q08751"	110965	
"     -10s768576249"	-10	
"         +11463z558513"	11463	
"      -r11812903535"	0	
"        +116412y87347"	116412	
"   +1085260380r6"	1085260380	
"   +s11117726126"	0	
"       11522981b290"	11522981	
"       118503r62830"	118503	
"-100z73286058"	-100	
"-1105580x0600"	-1105580	
"-10443468208"	-2147483648	
"     101841p53654"	101841	
"  +10554864244a"	2147483647	
"     -10e838354622"	-10	
"         m11267325490"	0	
"         -p10263413381"	0	
"  +1191o5831689"	1191	
"     105j47285834"	105	
"    -10521q438321"	-10521	
"   +1198637x0021"	1198637	
"         +11865m548475"	11865	
"      +1006r5817342"	1006	
"+1015801f9892"	1015801	
"    +1008e7348320"	1008	
"     -111m63647866"	-111	
"        +105445n85859"	105445	
" +1138425742y5"	1138425742	
"    k11915542809"	0	
"       1121604677o3"	1121604677	
"      1159824576y8"	1159824576	
"       +116g91712575"	116	
"     x11622986915"	0	
" 11311464439f"	2147483647	
"       +1133661o4490"	1133661	
"         -1121037n4485"	-1121037	
"-10062601639"	-2147483648	
"         +11233009331m"	2147483647	
"  11u931750533"	11	
"   +r10815523571"	0	
"-1125805f7184"	-1125805	
"       +11564q900613"	11564	
"   1012711o8962"	1012711	
"     +118982824p50"	118982824	
"    +1y0093149377"	1	
"    11965769353h"	2147483647	
"       -120o29038874"	-120	
"        +10161775a726"	10161775	
"       1139z1507470"	1139	
"  110741453b56"	110741453	
"   +1193u7284004"	1193	
"         +120472907i21"	120472907	
"      -v11527636211"	0	
"+12035s346590"	12035	
"  -106z91743994"	-106	
"        +1104809k1279"	1104809	
"    12074g546883"	12074	
"      -11o112927646"	-11	
" -1161b9191404"	-1161	
"        -107534c24778"	-107534	
"    11460e079143"	11460	
"1011a1695921"	1011	
"      12022734121"	2147483647	
"         +121038582p28"	121038582	
"     +121q36078997"	121	
"     -1183c4693023"	-1183	
"   +106u43098380"	106	
"  +1160350r8048"	1160350	
"  +z10722860852"	0	
" -10275746d065"	-10275746	
"   105520n73993"	105520	
"      -1j0503136874"	-1	
"     109382w17134"	109382	
"  -1074096c5993"	-1074096	
"       1129301j0143"	1129301	
"-10260452868"	-2147483648	
"      -k11085692336"	0	
"      +11i388382603"	11	
"   -1175319658i0"	-1175319658	
" -1007600o7036"	-1007600	
"  +1x0709529085"	1	
"+q11883220307"	0	
"        +r11701115347"	0	
"      -1p0127822289"	-1	
"      10040509564"	2147483647	
"-1j1735543113"	-1	
"   11872q038721"	11872	
"         +10840c251131"	10840	
"    -106754i57525"	-106754	
"  1g1548486018"	1	
"    +1y1752410575"	1	
"       +1078101133m2"	1078101133	
"        -12046985078"	-2147483648	
"     -10309x058165"	-10309	
"   10961899j314"	10961899	
"   110214y43729"	110214	
"    +110865829l68"	110865829	
"-11190172v305"	-11190172	
"-11b665701278"	-11	
"   1i0774891267"	1	
"     +1207109286l4"	1207109286	
" +10m242160506"	10	
"       -1f0118127315"	-1	
"    10859646841j"	2147483647	
"    +11866w049299"	11866	
"       11702089d539"	11702089	
"  -1s0631778936"	-1	
"     i10958637128"	0	
" 1k0459462431"	1	
"     +11853899133"	2147483647	
"      -11671930640"	-2147483648	
"        +1150392018t5"	1150392018	
"  -11545036y867"	-11545036	
"    -11931533997"	-2147483648	
"     -1007300167d1"	-1007300167	
"         117778479l77"	117778479	
"     -f12034847264"	0	
"     +105y75655221"	105	
"       10548882847i"	2147483647	
"      -113e68888968"	-113	
"     +10c976646411"	10	
"       +1077x6753209"	1077	
"      -1098p3380715"	-1098	
"         111932v08807"	111932	
"    +118a46364524"	118	
"         111n90167825"	111	
"  +11915511718i"	2147483647	
" +1p1913812258"	1	
"     -112n27170836"	-112	
"         -1u1660744353"	-1	
"         -12052302m837"	-12052302	
"    1196014130p9"	1196014130	
"   -1q0899860022"	-1	
"+105b75093420"	105	
"     -11310122781"	-2147483648	
"     1188b5627537"	1188	
"      120311j26419"	120311	
"-b10425787532"	0	
"    11319786565a"	2147483647	
"       +10005417375"	2147483647	
"   11900885146"	2147483647	
"         -11136877230i"	-2147483648	
"       -10334822r198"	-10334822	
"         +10499v893502"	10499	
"   -103327l71009"	-103327	
"        -10560776785"	-2147483648	
"       +a11982778805"	0	
"     -p11600625586"	0	
"    10833190093"	2147483647	
"     +1l0673170716"	1	
"   +11995804c024"	11995804	
" -10h905146871"	-10	
"       116d68001580"	116	
" -1131834n8361"	-1131834	
"      +1046958y0393"	1046958	
"     1h1342774702"	1	
"        -10419696776"	-2147483648	
"        -10592219h724"	-10592219	
"        +11457382454"	2147483647	
"        1p1754909644"	1	
"      +103116845k16"	103116845	
"        -11154461218"	-2147483648	
"     101k54085395"	101	
" -113z23688572"	-113	
"     -11917164355"	-2147483648	
"      10072067623z"	2147483647	
"      +11521m875737"	11521	
"    +104864375g57"	104864375	
"        -m10445047832"	0	
"-12v102661918"	-12	
"-11x847840854"	-11	
"  1t0036653149"	1	
"    114b72648333"	114	
"        +1145812k4092"	1145812	
"   11658f232628"	11658	
"        -120950p91070"	-120950	
"    -b11221641602"	0	
"         -1003c1653263"	-1003	
"    l10792510372"	0	
"     +120249g77031"	120249	
"        -120703q38214"	-120703	
"    -106452609k20"	-106452609	
"     +1v1453358537"	1	
"   -12143810m315"	-12143810	
"        +1037891790b2"	1037891790	
"        -10305h291538"	-10305	
"  10856188w393"	10856188	
"  +j10564350795"	0	
"+10068729l816"	10068729	
"   +p11592225209"	0	
"        11091745321m"	2147483647	
"         -106437j22072"	-106437	
"    +11508062900y"	2147483647	
"   10434744465"	2147483647	
"       -1019r8333768"	-1019	
"    -10i220831099"	-10	
"   1y0802537098"	1	
"  1045z6016925"	1045	
"  -1082r2923998"	-1082	
" +104s96640346"	104	
"115215t09124"	115215	
"       -10699259g701"	-10699259	
" +1135684v2895"	1135684	
"    -11509a114410"	-11509	
"       -120063y79099"	-120063	
"    +115e62807646"	115	
" +11259396796d"	2147483647	
"        106361457g69"	106361457	
" 11011638251"	2147483647	
"     -115034j52480"	-115034	
"       11887736257"	2147483647	
"        -11719507061q"	-2147483648	
"      -1033019533o5"	-1033019533	
"         -1v1284714160"	-1	
"     -12d139228078"	-12	
"+1210q6333415"	1210	
" 11604v208706"	11604	
"        -1077615905s7"	-1077615905	
"    z10874126737"	0	
"  -1176234i4114"	-1176234	
"      -m11578910146"	0	
"    -10k917722688"	-10	
"      +1017861h8970"	1017861	
"       -1205010s9562"	-1205010	
"     -10874p154171"	-10874	
"    1176m2192787"	1176	
"    +12031466763b"	2147483647	
"     -1200b9812477"	-1200	
"         11340y038198"	11340	
"    +11048238604y"	2147483647	
"         +1155z5391523"	1155	
"     +11203445p984"	11203445	
" +102026k92316"	102026	
"    -1j1137824720"	-1	
" +12051d675587"	12051	
"     1d1056958613"	1	
"      12f050609459"	12	
"    -10301461a824"	-10301461	
"    1k0363397381"	1	
"         100572457l19"	100572457	
" +10355662100"	2147483647	
"       -108018243r52"	-108018243	
"    +1a1897287468"	1	
"-1073o6184527"	-1073	
" -11q845377400"	-11	
"         10492319530f"	2147483647	
"   +116210306v04"	116210306	
"         11y924836568"	11	
"       -10752645674t"	-2147483648	
"         113d88340421"	113	
"      +107834r68276"	107834	
"        +102g01629079"	102	
"      1144c1192139"	1144	
"     11215123q494"	11215123	
"       1174k9085042"	1174	
"       -121231v79488"	-121231	
"    -10212546024"	-2147483648	
"        +1i0542014402"	1	
"  +1087467898b0"	1087467898	
"   +1s0594425650"	1	
"  +b10629822207"	0	
"       +11630288w597"	11630288	
" e10788660885"	0	
" 1y2083368662"	1	
"  -10066559146"	-2147483648	
"      120334689c11"	120334689	
"   116271b89018"	116271	
" +1134d1364874"	1134	
"  11855143p031"	11855143	
"         +12020430506"	2147483647	
"   1b0187491443"	1	
"11254o851072"	11254	
"+1070649354b7"	1070649354	
"        -112399983e15"	-112399983	
"10290o415959"	10290	
"      +10496l854792"	10496	
"      1065839e8996"	1065839	
"   +11v841697668"	11	
"        +1137310941v9"	1137310941	
"         104130s51207"	104130	
"  -10629785665"	-2147483648	
"       -1204144656b4"	-1204144656	
"  1q0620400298"	1	
" +108006288x61"	108006288	
"  +11967444543"	2147483647	
