{}	{}	
{63,6,41,88,77,21,17,4,22}	{6,63,88,41,21,77,4,17,22}	
{82,52,25,14,54,74,42,76,3,88,78,92,43,93,98,34,67,18,51,70,78,14,76,19,54,53,40,72,58,14,12,40,18,89,54,24,16,49,0,19,89}	{52,82,14,25,74,54,76,42,88,3,92,78,93,43,34,98,18,67,70,51,14,78,19,76,53,54,72,40,14,58,40,12,89,18,24,54,49,16,19,0,89}	
{11,85,24,62,19,43,32,22,13,10,88,89,81,43,95,21,15,53,87,79,45,57,69,52,82,37,1,82,56,42,13}	{85,11,62,24,43,19,22,32,10,13,89,88,43,81,21,95,53,15,79,87,57,45,52,69,37,82,82,1,42,56,13}	
{27,89,82,46,32,14,20,46,76,9,87,57,52,82,30,67,87,17,98,85,26,19,37,8,56,90,91,65,32,56,85,60,45,67,58,77,81,79,75,9,88,15,66,40,97,96,59,37,65,9,22,91,29,11,52,37,53,43,2,85,51,87,97,96,54,8,25,87,87}	{89,27,46,82,14,32,46,20,9,76,57,87,82,52,67,30,17,87,85,98,19,26,8,37,90,56,65,91,56,32,60,85,67,45,77,58,79,81,9,75,15,88,40,66,96,97,37,59,9,65,91,22,11,29,37,52,43,53,85,2,87,51,96,97,8,54,87,25,87}	
{96,27,68,14,67,17,10,78,54,27,87,28,71,68,91,23,6,44,18,60,30,69,48,79,17,54,87,42,94,26,95,42,53,15,9,72,33,71,50,39,99,90,68,70,10,11,45,68,56,63,29,38,32,29}	{27,96,14,68,17,67,78,10,27,54,28,87,68,71,23,91,44,6,60,18,69,30,79,48,54,17,42,87,26,94,42,95,15,53,72,9,71,33,39,50,90,99,70,68,11,10,68,45,63,56,38,29,29,32}	
{49,35,57,43,81,83,91,76,37,6,85,9,91,56,12,31,7,54}	{35,49,43,57,83,81,76,91,6,37,9,85,56,91,31,12,54,7}	
{29,64,62,74,85,18,37,14,56,21,95,26,22,82,83,66,64,66,9,40,55,15,77,17,7,85,81,90,93,35,41,22,51,55,49,36,74,38,2,82,60,49,60,82,32,43,0,96,62,9,88,69}	{64,29,74,62,18,85,14,37,21,56,26,95,82,22,66,83,66,64,40,9,15,55,17,77,85,7,90,81,35,93,22,41,55,51,36,49,38,74,82,2,49,60,82,60,43,32,96,0,9,62,69,88}	
{17,86,36,2,67,26,95,54,19,70,6,74,19,94,0,57,49,35,69,98,47,4,30,91,4,78,5,66,18,74,95,35,61,31,38,80,9,85,35,80,55,93,6,26,39,59,84,88,94,53,87,41,9,69,84,14,0,41,32,18,16,27,54,29,10,44,61,19,29,48,99,37,41,5,63,81,64,99}	{86,17,2,36,26,67,54,95,70,19,74,6,94,19,57,0,35,49,98,69,4,47,91,30,78,4,66,5,74,18,35,95,31,61,80,38,85,9,80,35,93,55,26,6,59,39,88,84,53,94,41,87,69,9,14,84,41,0,18,32,27,16,29,54,44,10,19,61,48,29,37,99,5,41,81,63,99,64}	
{10,5,60,4,14,30,88,80,30,82,12,0,98,39,6,79,49,50,40,20,32,89}	{5,10,4,60,30,14,80,88,82,30,0,12,39,98,79,6,50,49,20,40,89,32}	
{21,82,77,36,15,93,36,37,56,41,49,60,7,31,0,88,61,82,52,14,32,92,20,63,93,23,4,66,7,45,37,28,79,66,64,95,60,0,84,16,93,33,28,53,65,28,41,78,11,93,44,95,37,65,59,83,88,15,49,95,12,38,75,91,5,39,38,65,92,22,33,37}	{82,21,36,77,93,15,37,36,41,56,60,49,31,7,88,0,82,61,14,52,92,32,63,20,23,93,66,4,45,7,28,37,66,79,95,64,0,60,16,84,33,93,53,28,28,65,78,41,93,11,95,44,65,37,83,59,15,88,95,49,38,12,91,75,39,5,65,38,22,92,37,33}	
{61,90,25,89,31,3,52,77,48}	{90,61,89,25,3,31,77,52,48}	
{59,49,5,74,50,52,86,89,27,29,94,66,68,11,10,90,96,48,50,57,38,75,98,22,31,3,99,31,3,65,96,14,67,53,40,69,5,78,58,32,7,4,50,75,15,61,18,63,9,20,20,99,96,71,21,27,74,72,10,29,90,6,43,57,11,35}	{49,59,74,5,52,50,89,86,29,27,66,94,11,68,90,10,48,96,57,50,75,38,22,98,3,31,31,99,65,3,14,96,53,67,69,40,78,5,32,58,4,7,75,50,61,15,63,18,20,9,99,20,71,96,27,21,72,74,29,10,6,90,57,43,35,11}	
{16,13,37,0,20,93,50,48,61,63,18,24,24,38,45,24,34,68,97,13,94,70,23,23,60,81,18,69,92,53,47,60,66,36,60,38,30,63,38,91,26,56,15,3,47,12,27,33,32,76,47,26,46,22,49,58,56,19,79,48,72,79,9,90,15,21,81,97,84,71,88,63,80,56,66,27,20,45,60}	{13,16,0,37,93,20,48,50,63,61,24,18,38,24,24,45,68,34,13,97,70,94,23,23,81,60,69,18,53,92,60,47,36,66,38,60,63,30,91,38,56,26,3,15,12,47,33,27,76,32,26,47,22,46,58,49,19,56,48,79,79,72,90,9,21,15,97,81,71,84,63,88,56,80,27,66,45,20,60}	
{21,59,31,20,34,81,78,90,52,10,90,77,89,51,19,4,73,0,2,9,72,42,72,4,50,90,31,23,87,43,28,9,55,59,81,41,92,59,31,45,69,73,22,58,25,41,15,50,94,69,11,18,63,84}	{59,21,20,31,81,34,90,78,10,52,77,90,51,89,4,19,0,73,9,2,42,72,4,72,90,50,23,31,43,87,9,28,59,55,41,81,59,92,45,31,73,69,58,22,41,25,50,15,69,94,18,11,84,63}	
{14,26,5,89,14,0,17,75,7,28,56,48,21,67,79,18,37,5,40,47,82,33,14}	{26,14,89,5,0,14,75,17,28,7,48,56,67,21,18,79,5,37,47,40,33,82,14}	
{79,83,43,97,47,79,71,13,58,28,2,72,29,71,47,36,99,55,85,20,22,16,90,11,73,82,59,55,16,25,87,47,61}	{83,79,97,43,79,47,13,71,28,58,72,2,71,29,36,47,55,99,20,85,16,22,11,90,82,73,55,59,25,16,47,87,61}	
{97,60,14,68,73,72,49,27,96,78,50,95,66,49,50,3,22,73,72,12,84,45,95,95,53,63,21,92,10,34,75,59,94,42,28,19,66,29,46,63,59,48,58,25,49,9,81,71,34,5,36,18,2,83,66,55,98,39,48,60,73,75,20,67,69,0,86,36,29,84,99,88,32,9,65,81,70,98,5,4,3,93,75,58}	{60,97,68,14,72,73,27,49,78,96,95,50,49,66,3,50,73,22,12,72,45,84,95,95,63,53,92,21,34,10,59,75,42,94,19,28,29,66,63,46,48,59,25,58,9,49,71,81,5,34,18,36,83,2,55,66,39,98,60,48,75,73,67,20,0,69,36,86,84,29,88,99,9,32,81,65,98,70,4,5,93,3,58,75}	
{41,13,26,80,13,86,53,89,6,20,58,6,6,46,87,90,45,75,74,7,93,55,77,91,60,82,47,53,57,5,81,50,70,7,30,84,94,83,25,52,3,35,11,61,82,98,3,79,26,77,86,71,32,16,14,45,50,13,50,7,18,32,57,41,91,39,77,37,22,2,90,77,89,53,90,23,51}	{13,41,80,26,86,13,89,53,20,6,6,58,46,6,90,87,75,45,7,74,55,93,91,77,82,60,53,47,5,57,50,81,7,70,84,30,83,94,52,25,35,3,61,11,98,82,79,3,77,26,71,86,16,32,45,14,13,50,7,50,32,18,41,57,39,91,37,77,2,22,77,90,53,89,23,90,51}	
{3,29,70,41,52,54,9,67,51,59,80,2,66,51,86,75,92,77,14,69,15,88,23,57,17,12,10,7,88,13,0,91,95,22,84,47,29,94,14,80,53,95,82,72,98,68,99,90,46,66,11,13,54,34,70,72,98,32,79,86,97,32,29,92,54,66,40,83,12,6,64,17,53,98,89,51,67,41,93,65,7,4,30,13,90,52,85,41,84,17,79,33,1,61}	{29,3,41,70,54,52,67,9,59,51,2,80,51,66,75,86,77,92,69,14,88,15,57,23,12,17,7,10,13,88,91,0,22,95,47,84,94,29,80,14,95,53,72,82,68,98,90,99,66,46,13,11,34,54,72,70,32,98,86,79,32,97,92,29,66,54,83,40,6,12,17,64,98,53,51,89,41,67,65,93,4,7,13,30,52,90,41,85,17,84,33,79,61,1}	
{7,27,18,43,91,24,59,8,30,57,98,81,76,39,75,93,98,31,23,11,74,75,49,15,11,18,94}	{27,7,43,18,24,91,8,59,57,30,81,98,39,76,93,75,31,98,11,23,75,74,15,49,18,11,94}	
{19,55,23,78,34,41,21,25,17,80,34,47,38,84,81,66,75,8,60,73,39,83,36,13,11,85,80,74,55,75,19,26,82,94,5,69,35,26,94,53,7,80,52,97,16,33}	{55,19,78,23,41,34,25,21,80,17,47,34,84,38,66,81,8,75,73,60,83,39,13,36,85,11,74,80,75,55,26,19,94,82,69,5,26,35,53,94,80,7,97,52,33,16}	
