{}, {}	{}	
{-8,-1,-1,4,5,6,8}, {-9,-8,-4,2}	{-9,-8,-8,-4,-1,-1,2,4,5,6,8}	
{-5,2,9}, {-10,-8,-1,2,6}	{-10,-8,-5,-1,2,2,6,9}	
{-3,0,1,9,9}, {3,8}	{-3,0,1,3,8,9,9}	
{-10,-10,-8,-3,-3,4,4,7}, {-8,-5,-4,2,2,4,7}	{-10,-10,-8,-8,-5,-4,-3,-3,2,2,4,4,4,7,7}	
{-9,6}, {-6,-5,-5,1}	{-9,-6,-5,-5,1,6}	
{-7,-5,-2,8}, {7,9}	{-7,-5,-2,7,8,9}	
{9}, {-6,-5,-2,6}	{-6,-5,-2,6,9}	
{-4,1}, {-7,-7,-5,-3,0}	{-7,-7,-5,-4,-3,0,1}	
{-9,-9,-2}, {-3,-3,1,2,2}	{-9,-9,-3,-3,-2,1,2,2}	
{-9,-8,-7,-5,-1,4,8,9,9}, {-10,-3,5,8}	{-10,-9,-8,-7,-5,-3,-1,4,5,8,8,9,9}	
{-9,-6,-4,3}, {-1}	{-9,-6,-4,-1,3}	
{-10,-9,-9,-8,7}, {-10,-8,3}	{-10,-10,-9,-9,-8,-8,3,7}	
{-8,-4,-1,3,4}, {-2,7}	{-8,-4,-2,-1,3,4,7}	
{-10,-4,-4,-4,0,5,6,9}, {-10,-7,-7,-6,-3,-1,5,6}	{-10,-10,-7,-7,-6,-4,-4,-4,-3,-1,0,5,5,6,6,9}	
{-7,-6,-6,-5,-1,0,2,7}, {-10,-9,-5,-4,-4,-2,-2,2}	{-10,-9,-7,-6,-6,-5,-5,-4,-4,-2,-2,-1,0,2,2,7}	
{-5,1,5}, {-4,8,8}	{-5,-4,1,5,8,8}	
{4}, {-7,5,7}	{-7,4,5,7}	
{-17,5,19,19}, {-30,-29,-28,-28,-27,-26,-26,-23,-23,-21,-18,-18,-17,-15,-14,-13,-13,-8,-8,-7,-7,-4,-2,0,1,5,5,5,7,11,13,13,15,17,17,26,26,27,28}	{-30,-29,-28,-28,-27,-26,-26,-23,-23,-21,-18,-18,-17,-17,-15,-14,-13,-13,-8,-8,-7,-7,-4,-2,0,1,5,5,5,5,7,11,13,13,15,17,17,19,19,26,26,27,28}	
{-20,-19,-17,-17,-13,-5,-5,-4,-1,-1,0,1,11,16,18,19,20,21,21,22,22,23,25,28,29}, {-30,-27,-22,-21,-18,-17,-17,-13,-13,-5,-4,-1,0,6,7,8,10,15,25,27}	{-30,-27,-22,-21,-20,-19,-18,-17,-17,-17,-17,-13,-13,-13,-5,-5,-5,-4,-4,-1,-1,-1,0,0,1,6,7,8,10,11,15,16,18,19,20,21,21,22,22,23,25,25,27,28,29}	
{-30,-27,-27,-23,-23,-22,-21,-21,-19,-19,-16,-16,-15,-13,-9,-9,-5,-5,-3,-2,0,5,5,6,6,7,7,8,9,9,11,11,12,16,20,22,23,23,24,25,25,26}, {-25,-25,-22,-20,-18,-17,-11,-2,-2,5,9,13,21,28,28,29}	{-30,-27,-27,-25,-25,-23,-23,-22,-22,-21,-21,-20,-19,-19,-18,-17,-16,-16,-15,-13,-11,-9,-9,-5,-5,-3,-2,-2,-2,0,5,5,5,6,6,7,7,8,9,9,9,11,11,12,13,16,20,21,22,23,23,24,25,25,26,28,28,29}	
{-27,-27,-25,-24,-24,-23,-23,-22,-20,-18,-18,-14,-14,-12,-7,-5,1,7,11,12,16,17,17,18,25,25,25,27,27,29}, {-29,-28,-28,-28,-27,-24,-24,-24,-23,-23,-21,-21,-21,-21,-18,-17,-16,-16,-13,-13,-12,-11,-7,-7,-5,-4,-3,0,1,1,5,6,6,11,11,12,15,17,18,19,19,21,25,27,27,29,29}	{-29,-28,-28,-28,-27,-27,-27,-25,-24,-24,-24,-24,-24,-23,-23,-23,-23,-22,-21,-21,-21,-21,-20,-18,-18,-18,-17,-16,-16,-14,-14,-13,-13,-12,-12,-11,-7,-7,-7,-5,-5,-4,-3,0,1,1,1,5,6,6,7,11,11,11,12,12,15,16,17,17,17,18,18,19,19,21,25,25,25,25,27,27,27,27,29,29,29}	
{-29,-20,-19,-15,-8,-7,-5,-5,-4,-3,-2,0,2,3,3,8,10,10,14,18,22,23,27}, {-28,-28,-27,-27,-26,-26,-25,-24,-24,-24,-23,-23,-21,-17,-16,-15,-14,-14,-10,-9,-8,-8,-7,-6,-5,-5,0,1,5,6,6,8,8,10,10,11,12,12,12,13,13,17,20,21,26}	{-29,-28,-28,-27,-27,-26,-26,-25,-24,-24,-24,-23,-23,-21,-20,-19,-17,-16,-15,-15,-14,-14,-10,-9,-8,-8,-8,-7,-7,-6,-5,-5,-5,-5,-4,-3,-2,0,0,1,2,3,3,5,6,6,8,8,8,10,10,10,10,11,12,12,12,13,13,14,17,18,20,21,22,23,26,27}	
{-28,-26,-26,-25,-15,-9,-5,-3,1,3,4,5,7,8,11,13,14,15,22,23,23,24,25,26,26}, {-30,-30,-29,-26,-25,-25,-23,-23,-21,-21,-21,-17,-16,-15,-14,-14,-14,-10,-6,-5,-2,-1,-1,-1,5,10,11,13,14,16,16,20,20,21,23,25,25,26,26,28}	{-30,-30,-29,-28,-26,-26,-26,-25,-25,-25,-23,-23,-21,-21,-21,-17,-16,-15,-15,-14,-14,-14,-10,-9,-6,-5,-5,-3,-2,-1,-1,-1,1,3,4,5,5,7,8,10,11,11,13,13,14,14,15,16,16,20,20,21,22,23,23,23,24,25,25,25,26,26,26,26,28}	
{-27,-25,-25,-7,11,20,24}, {-21,-18,-17,-17,-14,3,17,21}	{-27,-25,-25,-21,-18,-17,-17,-14,-7,3,11,17,20,21,24}	
{-30,-28,-22,-21,3,6,11,23}, {-30,-27,-27,-25,-22,-22,-21,-20,-19,-18,-18,-17,-13,-13,-12,-9,-8,-7,-5,-1,0,0,1,2,5,7,7,10,11,12,16,22,26,26,27}	{-30,-30,-28,-27,-27,-25,-22,-22,-22,-21,-21,-20,-19,-18,-18,-17,-13,-13,-12,-9,-8,-7,-5,-1,0,0,1,2,3,5,6,7,7,10,11,11,12,16,22,23,26,26,27}	
{-29,-26,-21,-11,-3,3,5,6,7,8,10,13,15,25,26,26,29}, {-29,-27,-27,-24,-23,-13,-7,-5,4,18,25,28,29}	{-29,-29,-27,-27,-26,-24,-23,-21,-13,-11,-7,-5,-3,3,4,5,6,7,8,10,13,15,18,25,25,26,26,28,29,29}	
{-30,-30,-26,-25,-25,-24,-21,-19,-17,-17,-15,-12,-6,-5,2,6,6,8,10,11,12,13,14,16,18,20,21,21,22,25,26,28}, {-26,1,8,28}	{-30,-30,-26,-26,-25,-25,-24,-21,-19,-17,-17,-15,-12,-6,-5,1,2,6,6,8,8,10,11,12,13,14,16,18,20,21,21,22,25,26,28,28}	
{-29,-27,-27,-27,-26,-25,-24,-23,-23,-23,-23,-18,-15,-14,-10,-10,-10,-9,-8,-6,-6,-6,-3,-3,-3,-1,-1,1,2,3,4,12,14,14,17,20,21,21,24,24,25,26,26,26,28,28,29}, {-29,-29,-28,-26,-26,-24,-22,-22,-22,-20,-20,-19,-18,-14,-14,-13,-12,-12,-11,-11,-5,-5,-4,-3,-3,-2,-1,3,4,6,10,14,15,15,20,21,21,25,26,27,29}	{-29,-29,-29,-28,-27,-27,-27,-26,-26,-26,-25,-24,-24,-23,-23,-23,-23,-22,-22,-22,-20,-20,-19,-18,-18,-15,-14,-14,-14,-13,-12,-12,-11,-11,-10,-10,-10,-9,-8,-6,-6,-6,-5,-5,-4,-3,-3,-3,-3,-3,-2,-1,-1,-1,1,2,3,3,4,4,6,10,12,14,14,14,15,15,17,20,20,21,21,21,21,24,24,25,25,26,26,26,26,27,28,28,29,29}	
{-30,-28,-7,-2,4,6,6,8,9,13,19,22,27,28}, {-28,-26,-26,-26,-25,-24,-24,-22,-21,-21,-20,-20,-17,-15,-13,-10,-9,-6,-4,-1,-1,-1,0,2,3,3,3,3,4,4,6,7,11,12,12,13,14,15,15,16,19,19,21,25,26,26,27,28}	{-30,-28,-28,-26,-26,-26,-25,-24,-24,-22,-21,-21,-20,-20,-17,-15,-13,-10,-9,-7,-6,-4,-2,-1,-1,-1,0,2,3,3,3,3,4,4,4,6,6,6,7,8,9,11,12,12,13,13,14,15,15,16,19,19,19,21,22,25,26,26,27,27,28,28}	
{-27,-24,-18,-14,-10,-10,-8,-6,-5,-1,-1,3,5,7,9,12,15,20,23,26}, {-30,-29,-27,-24,-22,-22,-21,-21,-15,-13,-12,-12,-10,-9,-7,-7,-5,-5,-4,-1,1,2,3,5,6,6,6,8,9,11,18,19,20,22,23,24,27,28,28}	{-30,-29,-27,-27,-24,-24,-22,-22,-21,-21,-18,-15,-14,-13,-12,-12,-10,-10,-10,-9,-8,-7,-7,-6,-5,-5,-5,-4,-1,-1,-1,1,2,3,3,5,5,6,6,6,7,8,9,9,11,12,15,18,19,20,20,22,23,23,24,26,27,28,28}	
{-30,-26,-25,-24,-24,-23,-23,-21,-21,-20,-19,-19,-17,-16,-16,-16,-12,-9,-9,-7,-6,-6,-6,-3,2,2,2,3,4,5,6,8,9,9,12,12,13,13,15,16,18,19,19,23,23,24,27,28}, {-29,-29,-26,-25,-22,-21,-20,-18,-18,-17,-16,-13,-11,-11,-11,-8,-6,-5,-4,-1,0,1,3,5,7,7,8,12,13,13,16,18,20,20,21,21,25,25,25,26,27}	{-30,-29,-29,-26,-26,-25,-25,-24,-24,-23,-23,-22,-21,-21,-21,-20,-20,-19,-19,-18,-18,-17,-17,-16,-16,-16,-16,-13,-12,-11,-11,-11,-9,-9,-8,-7,-6,-6,-6,-6,-5,-4,-3,-1,0,1,2,2,2,3,3,4,5,5,6,7,7,8,8,9,9,12,12,12,13,13,13,13,15,16,16,18,18,19,19,20,20,21,21,23,23,24,25,25,25,26,27,27,28}	
{-30,-30,-28,-25,-24,-23,-23,-21,-19,-19,-19,-18,-14,-14,-13,-10,-10,-9,-8,-7,-3,-2,-1,2,3,5,7,8,10,13,14,16,16,17,17,18,21,23,25,26,27,28,29}, {-30,-30,-29,-26,-26,-26,-26,-25,-24,-24,-22,-22,-21,-20,-20,-16,-15,-9,-9,-7,-5,-1,0,1,2,2,4,4,4,5,6,6,8,9,10,11,12,14,15,17,19,20,21,22,24,25,25,27,28}	{-30,-30,-30,-30,-29,-28,-26,-26,-26,-26,-25,-25,-24,-24,-24,-23,-23,-22,-22,-21,-21,-20,-20,-19,-19,-19,-18,-16,-15,-14,-14,-13,-10,-10,-9,-9,-9,-8,-7,-7,-5,-3,-2,-1,-1,0,1,2,2,2,3,4,4,4,5,5,6,6,7,8,8,9,10,10,11,12,13,14,14,15,16,16,17,17,17,18,19,20,21,21,22,23,24,25,25,25,26,27,27,28,28,29}	
{-27,-23,-19,-17,-12,5,7,9,9,17,17,18,19}, {-30,-30,-29,-27,-27,-24,-23,-23,-21,-20,-17,-15,-13,-9,-8,-5,-4,-4,-4,-3,-1,0,2,3,4,5,6,6,6,7,10,11,11,11,13,16,17,19,19,19,21,23,23,23,26,27,27,27,28}	{-30,-30,-29,-27,-27,-27,-24,-23,-23,-23,-21,-20,-19,-17,-17,-15,-13,-12,-9,-8,-5,-4,-4,-4,-3,-1,0,2,3,4,5,5,6,6,6,7,7,9,9,10,11,11,11,13,16,17,17,17,18,19,19,19,19,21,23,23,23,26,27,27,27,28}	
{9,23}, {-22,-20,-14,-12,-2,5,13,18,19,20,22}	{-22,-20,-14,-12,-2,5,9,13,18,19,20,22,23}	
{-29,-22,-5,10,14,21,28,28}, {-27,-6,-6,5,21,26}	{-29,-27,-22,-6,-6,-5,5,10,14,21,21,26,28,28}	
{-28,-24,-22,-22,-21,-21,-20,-20,-19,-18,-17,-10,-8,-7,-7,-6,-2,-2,-2,-2,-1,-1,1,2,3,3,4,4,6,6,6,8,10,12,17,18,18,19,20,21,22,22,23,24,24,25,25,28,29}, {-29,-23,-21,11,21}	{-29,-28,-24,-23,-22,-22,-21,-21,-21,-20,-20,-19,-18,-17,-10,-8,-7,-7,-6,-2,-2,-2,-2,-1,-1,1,2,3,3,4,4,6,6,6,8,10,11,12,17,18,18,19,20,21,21,22,22,23,24,24,25,25,28,29}	
{-29,-23,-22,-21,-20,-19,-19,-18,-17,-17,-16,-15,-13,-12,-5,-4,-4,-4,-3,-3,2,2,4,5,5,7,7,7,7,8,8,8,9,9,11,16,17,17,23,24,27,28,29,29,29}, {-30,-28,-25,-22,-21,-20,-20,-17,-16,-15,-14,-14,-14,-12,-11,-11,-8,-1,-1,0,4,8,13,14,14,17,20,21,22,25,26,26,27,29}	{-30,-29,-28,-25,-23,-22,-22,-21,-21,-20,-20,-20,-19,-19,-18,-17,-17,-17,-16,-16,-15,-15,-14,-14,-14,-13,-12,-12,-11,-11,-8,-5,-4,-4,-4,-3,-3,-1,-1,0,2,2,4,4,5,5,7,7,7,7,8,8,8,8,9,9,11,13,14,14,16,17,17,17,20,21,22,23,24,25,26,26,27,27,28,29,29,29,29}	
{-26,-25,-22,-21,-20,-18,-17,-10,-6,1,3,5,7,11,12,12,12,13,18,19,21,23}, {-30,-29,-26,-9,4,7}	{-30,-29,-26,-26,-25,-22,-21,-20,-18,-17,-10,-9,-6,1,3,4,5,7,7,11,12,12,12,13,18,19,21,23}	
{-30,-29,-29,-28,-28,-27,-27,-26,-24,-15,-14,-13,-13,-12,-12,-11,-5,-4,-4,-3,-3,-2,-1,-1,0,1,5,8,9,9,9,10,11,13,17,22,23,23,25,25,26,27,27,28,29,29}, {-28,-24,-21,-21,-20,-18,-18,-16,-15,-13,-12,-10,-10,-9,-8,-8,-7,-5,-1,-1,0,0,2,2,2,4,4,9,11,13,13,15,17,21,28,29,29}	{-30,-29,-29,-28,-28,-28,-27,-27,-26,-24,-24,-21,-21,-20,-18,-18,-16,-15,-15,-14,-13,-13,-13,-12,-12,-12,-11,-10,-10,-9,-8,-8,-7,-5,-5,-4,-4,-3,-3,-2,-1,-1,-1,-1,0,0,0,1,2,2,2,4,4,5,8,9,9,9,9,10,11,11,13,13,13,15,17,17,21,22,23,23,25,25,26,27,27,28,28,29,29,29,29}	
{-5,6,13}, {-28,-27,-21,-15,-11,-8,-7,-6,-3,0,5,6,12,14,15,24,25,25,27}	{-28,-27,-21,-15,-11,-8,-7,-6,-5,-3,0,5,6,6,12,13,14,15,24,25,25,27}	
{-30,-29,-20,-18,-13,-11,-4,-2,-2,-1,2,5,12,13,16}, {-29,-29,-28,-18,-15,-7,0,3,6,6,6,12,14,19,21,23,23}	{-30,-29,-29,-29,-28,-20,-18,-18,-15,-13,-11,-7,-4,-2,-2,-1,0,2,3,5,6,6,6,12,12,13,14,16,19,21,23,23}	
{-29,-26,-23,-21,-12,-12,-9,-9,-7,-7,-5,-4,-3,-2,0,1,3,3,11,11,13,15,15,16,20,20,24,25,26,29}, {-29,-23,-23,-21,-17,-15,-9,-4,-4,2,9,10,10,18,20,27}	{-29,-29,-26,-23,-23,-23,-21,-21,-17,-15,-12,-12,-9,-9,-9,-7,-7,-5,-4,-4,-4,-3,-2,0,1,2,3,3,9,10,10,11,11,13,15,15,16,18,20,20,20,24,25,26,27,29}	
{9,14}, {-28,-27,-27,-21,-18,-18,-17,-16,-13,-11,-10,-6,-6,-1,-1,0,0,2,2,3,6,9,10,10,10,11,12,21,21,21,25,28,29}	{-28,-27,-27,-21,-18,-18,-17,-16,-13,-11,-10,-6,-6,-1,-1,0,0,2,2,3,6,9,9,10,10,10,11,12,14,21,21,21,25,28,29}	
{-30,-29,-27,-24,-23,-21,-20,-18,-17,-17,-16,-14,-13,-11,-10,-9,-6,3,3,5,6,7,8,9,9,12,12,13,13,15,18,20,22,22,23,24,26,28}, {-19,-13,-12,-8,-6,1,1,1,2,2,6,12,15,20,21,22,25,26}	{-30,-29,-27,-24,-23,-21,-20,-19,-18,-17,-17,-16,-14,-13,-13,-12,-11,-10,-9,-8,-6,-6,1,1,1,2,2,3,3,5,6,6,7,8,9,9,12,12,12,13,13,15,15,18,20,20,21,22,22,22,23,24,25,26,26,28}	
{-30,-27,-26,-26,-25,-25,-22,-22,-21,-21,-21,-19,-18,-15,-13,-12,-12,-10,-4,-4,1,1,4,8,10,10,12,13,15,15,16,16,16,18,19,21,21,23,23,25,28,28,29,29}, {-30,-30,-29,-29,-28,-26,-25,-25,-23,-22,-21,-19,-19,-17,-16,-14,-14,-13,-13,-11,-9,-8,-8,-7,0,2,2,4,4,6,7,9,9,10,11,11,12,13,13,15,15,21,24,24,25,26,29}	{-30,-30,-30,-29,-29,-28,-27,-26,-26,-26,-25,-25,-25,-25,-23,-22,-22,-22,-21,-21,-21,-21,-19,-19,-19,-18,-17,-16,-15,-14,-14,-13,-13,-13,-12,-12,-11,-10,-9,-8,-8,-7,-4,-4,0,1,1,2,2,4,4,4,6,7,8,9,9,10,10,10,11,11,12,12,13,13,13,15,15,15,15,16,16,16,18,19,21,21,21,23,23,24,24,25,25,26,28,28,29,29,29}	
{-25,-19,-18,-15,-14,-11,-9,-3,-3,-2,1,1,3,6,10,11,15,16,21,22,24,27}, {-28,-28,-26,-26,-26,-26,-25,-24,-23,-19,-19,-19,-17,-17,-14,-14,-11,-7,-7,-6,-5,-3,-1,0,4,6,7,8,12,14,16,16,20,21,22,23,24,26,27,28}	{-28,-28,-26,-26,-26,-26,-25,-25,-24,-23,-19,-19,-19,-19,-18,-17,-17,-15,-14,-14,-14,-11,-11,-9,-7,-7,-6,-5,-3,-3,-3,-2,-1,0,1,1,3,4,6,6,7,8,10,11,12,14,15,16,16,16,20,21,21,22,22,23,24,24,26,27,27,28}	
{-30,-26,-23,-17,-15,-15,-14,-11,-8,-7,-4,-3,2,5,6,6,6,7,8,11,12,15,16,18,19,19,19,19,21,22,24,24,27,27,29}, {-30,-30,-29,-21,-18,-17,-7,-6,-6,-5,-4,4,7,7,12,15,17,18,24,27,28,29}	{-30,-30,-30,-29,-26,-23,-21,-18,-17,-17,-15,-15,-14,-11,-8,-7,-7,-6,-6,-5,-4,-4,-3,2,4,5,6,6,6,7,7,7,8,11,12,12,15,15,16,17,18,18,19,19,19,19,21,22,24,24,24,27,27,27,28,29,29}	
{-29,-28,-28,-28,-25,-24,-23,-22,-21,-20,-17,-14,-12,-11,-11,-8,-4,2,4,6,7,7,7,8,14,15,17,24,29}, {-30,-28,-26,-24,-23,-23,-19,-17,-14,-10,-9,-9,-6,-5,-4,2,9,13,14,14,15,16,16,18,20,23}	{-30,-29,-28,-28,-28,-28,-26,-25,-24,-24,-23,-23,-23,-22,-21,-20,-19,-17,-17,-14,-14,-12,-11,-11,-10,-9,-9,-8,-6,-5,-4,-4,2,2,4,6,7,7,7,8,9,13,14,14,14,15,15,16,16,17,18,20,23,24,29}	
{-30,-30,-26,-26,-24,-23,-21,-20,-19,-18,-18,-14,-13,-13,-7,-5,-4,-3,-1,-1,0,1,1,4,5,9,9,10,11,11,14,15,18,21,23,24,27,28,28,29}, {-30,-22,-17,-15,-15,-13,-1,0,0,9,10,18,20,24,28,29}	{-30,-30,-30,-26,-26,-24,-23,-22,-21,-20,-19,-18,-18,-17,-15,-15,-14,-13,-13,-13,-7,-5,-4,-3,-1,-1,-1,0,0,0,1,1,4,5,9,9,9,10,10,11,11,14,15,18,18,20,21,23,24,24,27,28,28,28,29,29}	
